,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0035,127.0999984741211,-2.0999999046325684,0.27055642008781433,0.0,0.0,0.0,False,False,False,0
0.0094,127.0999984741211,-2.0999999046325684,0.2693282961845398,0.0,0.0,0.0,False,False,False,0
0.0188,127.0999984741211,-2.0999999046325684,0.265470027923584,0.0,0.0,0.0,False,False,False,0
0.0273,127.0999984741211,-2.0999999046325684,0.2646635174751282,0.0,0.0,0.0,False,False,False,0
0.0368,127.0999984741211,-2.0999999046325684,0.2644348442554474,0.0,0.0,0.0,False,False,False,0
0.0433,127.0999984741211,-2.0999999046325684,0.26428020000457764,0.0,0.0,0.0,False,False,False,0
0.052,127.0999984741211,-2.0999999046325684,0.2640703022480011,0.0,0.0,0.0,False,False,False,0
0.0616,127.0999984741211,-2.0999999046325684,0.263837993144989,0.0,0.0,0.0,False,False,False,0
0.0715,127.0999984741211,-2.0999999046325684,0.26359936594963074,0.0,0.0,0.0,False,False,False,0
0.0759,127.0999984741211,-2.0999999046325684,0.26349374651908875,0.0,0.0,0.0,False,False,False,0
0.0852,127.0999984741211,-2.0999999046325684,0.26326948404312134,0.0,0.0,0.0,False,False,False,0
0.0937,127.0999984741211,-2.0999999046325684,0.26306572556495667,0.0,0.0,0.0,False,False,False,0
0.1034,127.0999984741211,-2.0999999046325684,0.26283174753189087,0.0,0.0,0.0,False,False,False,0
0.1128,127.0999984741211,-2.0999999046325684,0.26260605454444885,0.0,0.0,0.0,False,False,False,0
0.1173,127.0999984741211,-2.0999999046325684,0.2624981105327606,0.0,0.0,0.0,False,False,False,0
0.1267,127.0999984741211,-2.0999999046325684,0.26227056980133057,0.0,0.0,0.0,False,False,False,0
0.1363,127.0999984741211,-2.0999999046325684,0.2576662003993988,0.0,0.0,0.0,False,False,False,0
0.1453,127.0999984741211,-2.0999999046325684,0.23758862912654877,0.0,0.0,0.0,False,False,False,0
0.1503,127.0999984741211,-2.0999999046325684,0.22647632658481598,0.0,0.0,0.0,False,False,False,0
0.1588,127.0999984741211,-2.0999999046325684,0.2074674516916275,0.0,0.0,0.0,False,False,False,0
0.1687,127.0999984741211,-2.0999999046325684,0.18960967659950256,0.0,0.0,0.0,False,False,False,0
0.1783,127.0999984741211,-2.0999999046325684,0.1848866492509842,0.0,0.0,0.0,False,False,False,0
0.1868,127.0999984741211,-2.0999999046325684,0.18068797886371613,0.0,0.0,0.0,False,False,False,0
0.1919,127.0999984741211,-2.0999999046325684,0.17816007137298584,0.0,0.0,0.0,False,False,False,0
0.201,127.0999984741211,-2.0999999046325684,0.17553876340389252,0.0,0.0,0.0,False,False,False,0
0.2105,127.0999984741211,-2.0999999046325684,0.17278990149497986,0.0,0.0,0.0,False,False,False,0
0.22,127.0999984741211,-2.0999999046325684,0.17013341188430786,0.0,0.0,0.0,False,False,False,0
0.2284,127.0999984741211,-2.0999999046325684,0.1679392009973526,0.0,0.0,0.0,False,False,False,0
0.2339,127.0999984741211,-2.0999999046325684,0.16652308404445648,0.0,0.0,0.0,False,False,False,0
0.2432,127.0999984741211,-2.0999999046325684,0.16484379768371582,0.0,0.0,0.0,False,False,False,0
0.252,127.0999984741211,-2.0999999046325684,0.16348415613174438,0.0,0.0,0.0,False,False,False,0
0.2611,127.0999984741211,-2.0999999046325684,0.1624426245689392,0.0,0.0,0.0,False,False,False,0
0.2711,127.0999984741211,-2.0999999046325684,0.1615675687789917,0.0,0.0,0.0,False,False,False,0
0.2755,127.0999984741211,-2.0999999046325684,0.1611843705177307,0.0,0.0,0.0,False,False,False,0
0.2848,127.0999984741211,-2.0999999046325684,0.1603764295578003,0.0,0.0,0.0,False,False,False,0
0.2934,127.0999984741211,-2.0999999046325684,0.15964598953723907,0.0,0.0,0.0,False,False,False,0
0.3031,127.0999984741211,-2.0999999046325684,0.15881474316120148,0.0,0.0,0.0,False,False,False,0
0.3124,127.0999984741211,-2.0999999046325684,0.15810762345790863,0.0,0.0,0.0,False,False,False,0
0.3167,127.0999984741211,-2.0999999046325684,0.15786927938461304,0.0,0.0,0.0,False,False,False,0
0.326,127.0999984741211,-2.0999999046325684,0.15736287832260132,0.0,0.0,0.0,False,False,False,0
0.3356,127.0999984741211,-2.0999999046325684,0.15683481097221375,0.0,0.0,0.0,False,False,False,0
0.3445,127.0999984741211,-2.0999999046325684,0.1564018428325653,0.0,0.0,0.0,False,False,False,0
0.3538,127.0999984741211,-2.0999999046325684,0.15601082146167755,0.0,0.0,0.0,False,False,False,0
0.3633,127.0999984741211,-2.0999999046325684,0.15561605989933014,0.0,0.0,0.0,False,False,False,0
0.3682,127.0999984741211,-2.0999999046325684,0.1554144322872162,0.0,0.0,0.0,False,False,False,0
0.3781,127.0999984741211,-2.0999999046325684,0.15509267151355743,1.0,-1.9647597074508667,1.0,False,False,False,0
0.3866,127.0999984741211,-2.0999999046325684,0.15482550859451294,1.0,-1.9647597074508667,1.0,False,False,False,0
0.3963,127.0999984741211,-2.0999999046325684,0.15457071363925934,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4009,127.0999984741211,-2.0999999046325684,0.15450525283813477,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4096,127.0999984741211,-2.0999999046325684,0.15437981486320496,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4193,127.0999984741211,-2.0999999046325684,0.15424075722694397,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4279,127.0999984741211,-2.0999999046325684,0.1541234850883484,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4372,127.0999984741211,-2.0999999046325684,0.15399663150310516,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4421,127.0999984741211,-2.0999999046325684,0.15394262969493866,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4512,127.0999984741211,-2.0999999046325684,0.1539052277803421,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4604,127.0999984741211,-2.0999999046325684,0.1538672000169754,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4704,127.0999984741211,-2.0999999046325684,0.15382814407348633,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4792,127.0999984741211,-2.0999999046325684,0.15379492938518524,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4842,127.0999984741211,-2.0999999046325684,0.15377625823020935,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4928,127.0999984741211,-2.0999999046325684,0.15375114977359772,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5027,127.0999984741211,-2.0999999046325684,0.15373431146144867,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5121,127.0999984741211,-2.0999999046325684,0.15371981263160706,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5209,127.0999984741211,-2.0999999046325684,0.1537223607301712,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5258,127.0999984741211,-2.0999999046325684,0.15372374653816223,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5349,127.0999984741211,-2.0999999046325684,0.1537294089794159,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5439,127.0999984741211,-2.0999999046325684,0.15373992919921875,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5537,127.0999984741211,-2.0999999046325684,0.15375138819217682,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5632,127.0999984741211,-2.0999999046325684,0.15376006066799164,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5675,127.0999984741211,-2.0999999046325684,0.1537638008594513,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5769,127.0999984741211,-2.0999999046325684,0.1537674516439438,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5857,127.0999984741211,-2.0999999046325684,0.15375620126724243,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5951,127.0999984741211,-2.0999999046325684,0.15374697744846344,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6049,127.0999984741211,-2.0999999046325684,0.1537739634513855,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6092,127.0999984741211,-2.0999999046325684,0.15378586947917938,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6184,127.0999984741211,-2.0999999046325684,0.15379762649536133,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6272,127.0999984741211,-2.0999999046325684,0.15379147231578827,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6371,127.0999984741211,-2.0999999046325684,0.15378640592098236,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6462,127.0999984741211,-2.0999999046325684,0.15378965437412262,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6505,127.0999984741211,-2.0999999046325684,0.15379118919372559,1.0,-1.9647597074508667,1.0,False,False,False,0
0.66,127.0999984741211,-2.0999999046325684,0.15379561483860016,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6694,127.0999984741211,-2.0999999046325684,0.15380218625068665,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6784,127.0999984741211,-2.0999999046325684,0.1538054347038269,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6836,127.0999984741211,-2.0999999046325684,0.1537950336933136,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6924,127.0999984741211,-2.0999999046325684,0.1537790447473526,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7017,127.0999984741211,-2.0999999046325684,0.15377290546894073,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7115,127.0999984741211,-2.0999999046325684,0.1537713259458542,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7202,127.0999984741211,-2.0999999046325684,0.15377399325370789,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7296,127.0999984741211,-2.0999999046325684,0.15379568934440613,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7343,127.0999984741211,-2.0999999046325684,0.15380650758743286,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7436,127.0999984741211,-2.0999999046325684,0.15382890403270721,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7528,127.0999984741211,-2.0999999046325684,0.15385228395462036,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7618,127.0999984741211,-2.0999999046325684,0.1538666933774948,1.0,-1.9647597074508667,1.0,False,False,False,0
0.771,127.0999984741211,-2.0999999046325684,0.15386563539505005,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7757,127.0999984741211,-2.0999999046325684,0.15386366844177246,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7851,127.0999984741211,-2.0999999046325684,0.15386253595352173,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7946,127.0999984741211,-2.0999999046325684,0.15387268364429474,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8043,127.0999984741211,-2.0999999046325684,0.15388327836990356,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8091,127.0999984741211,-2.0999999046325684,0.1538885086774826,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8183,127.0999984741211,-2.0999999046325684,0.15389907360076904,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8268,127.0999984741211,-2.0999999046325684,0.15390877425670624,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8367,127.0999984741211,-2.0999999046325684,0.15392006933689117,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8458,127.0999984741211,-2.0999999046325684,0.15392813086509705,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8504,127.0999984741211,-2.0999999046325684,0.15393216907978058,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8593,127.0999984741211,-2.0999999046325684,0.15394091606140137,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8687,127.0999984741211,-2.0999999046325684,0.15395978093147278,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8776,127.0999984741211,-2.0999999046325684,0.15397773683071136,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8871,127.0999984741211,-2.0999999046325684,0.15399400889873505,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8966,127.0999984741211,-2.0999999046325684,0.15400701761245728,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9011,127.0999984741211,-2.0999999046325684,0.15401318669319153,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9105,127.0999984741211,-2.0999999046325684,0.15400680899620056,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9194,127.0999984741211,-2.0999999046325684,0.1539984792470932,1.0,-1.9647597074508667,1.0,False,False,False,0
0.929,127.0999984741211,-2.0999999046325684,0.1540086269378662,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9335,127.0999984741211,-2.0999999046325684,0.15401944518089294,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9434,127.0999984741211,-2.0999999046325684,0.15404051542282104,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9524,127.0999984741211,-2.0999999046325684,0.15403307974338531,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9608,127.0999984741211,-2.0999999046325684,0.15402622520923615,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9707,127.0999984741211,-2.0999999046325684,0.1540403664112091,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9753,127.0999984741211,-2.0999999046325684,0.15404973924160004,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9843,127.0999984741211,-2.0999999046325684,0.15406829118728638,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9936,127.0999984741211,-2.0999999046325684,0.15408028662204742,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0031,127.0999984741211,-2.0999999046325684,0.15409208834171295,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0118,127.0999984741211,-2.0999999046325684,0.15410222113132477,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0173,127.0999984741211,-2.0999999046325684,0.1541084200143814,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0258,127.0999984741211,-2.0999999046325684,0.15411792695522308,1.0,-1.9647597074508667,1.0,False,False,False,0
