,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0051,127.0999984741211,-2.0999999046325684,0.26618269085884094,0.0,0.0,0.0,False,False,False,0
0.009,127.0999984741211,-2.0999999046325684,0.264234721660614,0.0,0.0,0.0,False,False,False,0
0.0181,127.0999984741211,-2.0999999046325684,0.263104647397995,0.0,0.0,0.0,False,False,False,0
0.0263,127.0999984741211,-2.0999999046325684,0.26300761103630066,0.0,0.0,0.0,False,False,False,0
0.0356,127.0999984741211,-2.0999999046325684,0.2628958821296692,0.0,0.0,0.0,False,False,False,0
0.0456,127.0999984741211,-2.0999999046325684,0.26277586817741394,0.0,0.0,0.0,False,False,False,0
0.0541,127.0999984741211,-2.0999999046325684,0.2626746892929077,0.0,0.0,0.0,False,False,False,0
0.0588,127.0999984741211,-2.0999999046325684,0.2626174986362457,0.0,0.0,0.0,False,False,False,0
0.0674,127.0999984741211,-2.0999999046325684,0.2625150680541992,0.0,0.0,0.0,False,False,False,0
0.0765,127.0999984741211,-2.0999999046325684,0.2624060809612274,0.0,0.0,0.0,False,False,False,0
0.0855,127.0999984741211,-2.0999999046325684,0.2622978389263153,0.0,0.0,0.0,False,False,False,0
0.0942,127.0999984741211,-2.0999999046325684,0.2621941566467285,0.0,0.0,0.0,False,False,False,0
0.1034,127.0999984741211,-2.0999999046325684,0.2620837986469269,0.0,0.0,0.0,False,False,False,0
0.1124,127.0999984741211,-2.0999999046325684,0.261976033449173,0.0,0.0,0.0,False,False,False,0
0.117,127.0999984741211,-2.0999999046325684,0.26192179322242737,0.0,0.0,0.0,False,False,False,0
0.126,127.0999984741211,-2.0999999046325684,0.261813759803772,0.0,0.0,0.0,False,False,False,0
0.1349,127.0999984741211,-2.0999999046325684,0.26170748472213745,0.0,0.0,0.0,False,False,False,0
0.1439,127.0999984741211,-2.0999999046325684,0.2615989148616791,0.0,0.0,0.0,False,False,False,0
0.153,127.0999984741211,-2.0999999046325684,0.2602279782295227,0.0,0.0,0.0,False,False,False,0
0.1627,127.0999984741211,-2.0999999046325684,0.2389533817768097,0.0,0.0,0.0,False,False,False,0
0.1673,127.0999984741211,-2.0999999046325684,0.22897395491600037,0.0,0.0,0.0,False,False,False,0
0.1761,127.0999984741211,-2.0999996662139893,0.20974358916282654,0.0,0.0,0.0,False,False,False,0
0.1853,127.0999984741211,-2.0999996662139893,0.1901845932006836,0.0,0.0,0.0,False,False,False,0
0.1946,127.0999984741211,-2.0999999046325684,0.18391536176204681,0.0,0.0,0.0,False,False,False,0
0.2038,127.0999984741211,-2.0999999046325684,0.177767813205719,0.0,0.0,0.0,False,False,False,0
0.2126,127.0999984741211,-2.0999999046325684,0.1754479706287384,0.0,0.0,0.0,False,False,False,0
0.2174,127.0999984741211,-2.0999999046325684,0.17421682178974152,0.0,0.0,0.0,False,False,False,0
0.2261,127.0999984741211,-2.0999999046325684,0.17197869718074799,0.0,0.0,0.0,False,False,False,0
0.2354,127.0999984741211,-2.0999999046325684,0.169695645570755,0.0,0.0,0.0,False,False,False,0
0.2445,127.0999984741211,-2.0999999046325684,0.16756033897399902,0.0,0.0,0.0,False,False,False,0
0.2533,127.0999984741211,-2.0999999046325684,0.16598424315452576,0.0,0.0,0.0,False,False,False,0
0.2625,127.0999984741211,-2.0999999046325684,0.16439582407474518,0.0,0.0,0.0,False,False,False,0
0.2669,127.0999984741211,-2.0999999046325684,0.16386640071868896,0.0,0.0,0.0,False,False,False,0
0.2761,127.0999984741211,-2.0999999046325684,0.16273456811904907,0.0,0.0,0.0,False,False,False,0
0.2853,127.0999984741211,-2.0999999046325684,0.16160154342651367,0.0,0.0,0.0,False,False,False,0
0.2939,127.0999984741211,-2.0999999046325684,0.16056402027606964,0.0,0.0,0.0,False,False,False,0
0.3033,127.0999984741211,-2.0999999046325684,0.15964354574680328,0.0,0.0,0.0,False,False,False,0
0.3123,127.0999984741211,-2.0999999046325684,0.15912196040153503,0.0,0.0,0.0,False,False,False,0
0.3169,127.0999984741211,-2.0999999046325684,0.1588553637266159,0.0,0.0,0.0,False,False,False,0
0.3258,127.0999984741211,-2.0999999046325684,0.15833400189876556,0.0,0.0,0.0,False,False,False,0
0.3346,127.0999984741211,-2.0999999046325684,0.15776371955871582,0.0,0.0,0.0,False,False,False,0
0.3438,127.0999984741211,-2.0999999046325684,0.1571672260761261,0.0,0.0,0.0,False,False,False,0
0.3529,127.0999984741211,-2.0999999046325684,0.15667925775051117,0.0,0.0,0.0,False,False,False,0
0.3618,127.0999984741211,-2.0999999046325684,0.15638919174671173,1.0,-1.9647597074508667,1.0,False,False,False,0
0.3709,127.0999984741211,-2.0999999046325684,0.1560908704996109,1.0,-1.9647597074508667,1.0,False,False,False,0
0.3753,127.0999984741211,-2.0999999046325684,0.15594801306724548,1.0,-1.9647597074508667,1.0,False,False,False,0
0.3845,127.0999984741211,-2.0999999046325684,0.15563076734542847,1.0,-1.9647597074508667,1.0,False,False,False,0
0.3938,127.0999984741211,-2.0999999046325684,0.15526604652404785,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4024,127.0999984741211,-2.0999999046325684,0.15492776036262512,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4115,127.0999984741211,-2.0999999046325684,0.15471234917640686,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4208,127.0999984741211,-2.0999999046325684,0.1545461267232895,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4251,127.0999984741211,-2.0999999046325684,0.15447025001049042,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4342,127.0999984741211,-2.0999999046325684,0.15433360636234283,1.0,-1.9647597074508667,1.0,False,False,False,0
0.443,127.0999984741211,-2.0999999046325684,0.1542172133922577,1.0,-1.9647597074508667,1.0,False,False,False,0
0.452,127.0999984741211,-2.0999999046325684,0.15411023795604706,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4612,127.0999984741211,-2.0999999046325684,0.15403875708580017,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4703,127.0999984741211,-2.0999999046325684,0.15396979451179504,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4792,127.0999984741211,-2.0999999046325684,0.15393710136413574,1.0,-1.9647597074508667,1.0,False,False,False,0
0.484,127.0999984741211,-2.0999999046325684,0.15391941368579865,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4929,127.0999984741211,-2.0999999046325684,0.1538868248462677,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5021,127.0999984741211,-2.0999999046325684,0.15384837985038757,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5112,127.0999984741211,-2.0999999046325684,0.15380926430225372,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5199,127.0999984741211,-2.0999999046325684,0.15378716588020325,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5291,127.0999984741211,-2.0999999046325684,0.15378136932849884,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5336,127.0999984741211,-2.0999999046325684,0.15377852320671082,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5428,127.0999984741211,-2.0999999046325684,0.1537720412015915,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5518,127.0999984741211,-2.0999999046325684,0.15376292169094086,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5607,127.0999984741211,-2.0999999046325684,0.1537538468837738,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5699,127.0999984741211,-2.0999999046325684,0.15374520421028137,1.0,-1.9647597074508667,1.0,False,False,False,0
0.579,127.0999984741211,-2.0999999046325684,0.15373952686786652,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5835,127.0999984741211,-2.0999999046325684,0.15373675525188446,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5925,127.0999984741211,-2.0999999046325684,0.15373192727565765,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6014,127.0999984741211,-2.0999999046325684,0.15374459326267242,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6105,127.0999984741211,-2.0999999046325684,0.1537575125694275,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6196,127.0999984741211,-2.0999999046325684,0.15377280116081238,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6284,127.0999984741211,-2.0999999046325684,0.15378989279270172,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6376,127.0999984741211,-2.0999999046325684,0.15380650758743286,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6419,127.0999984741211,-2.0999999046325684,0.15381024777889252,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6512,127.0999984741211,-2.0999999046325684,0.15381839871406555,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6603,127.0999984741211,-2.0999999046325684,0.15382689237594604,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6691,127.0999984741211,-2.0999999046325684,0.15383592247962952,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6783,127.0999984741211,-2.0999999046325684,0.15384073555469513,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6873,127.0999984741211,-2.0999999046325684,0.15382817387580872,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6918,127.0999984741211,-2.0999999046325684,0.15382221341133118,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7009,127.0999984741211,-2.0999999046325684,0.15382245182991028,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7098,127.0999984741211,-2.0999999046325684,0.15383991599082947,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7188,127.0999984741211,-2.0999999046325684,0.1538514792919159,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7281,127.0999984741211,-2.0999999046325684,0.15384142100811005,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7372,127.0999984741211,-2.0999999046325684,0.15383273363113403,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7418,127.0999984741211,-2.0999999046325684,0.15384487807750702,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7509,127.0999984741211,-2.0999999046325684,0.15386898815631866,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7595,127.0999984741211,-2.0999999046325684,0.15389031171798706,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7689,127.0999984741211,-2.0999999046325684,0.15390969812870026,1.0,-1.9647597074508667,1.0,False,False,False,0
0.778,127.0999984741211,-2.0999999046325684,0.1539285033941269,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7866,127.0999984741211,-2.0999999046325684,0.15394027531147003,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7961,127.0999984741211,-2.0999999046325684,0.15395262837409973,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8003,127.0999984741211,-2.0999999046325684,0.15395809710025787,1.0,-1.9647597074508667,1.0,False,False,False,0
0.81,127.0999984741211,-2.0999999046325684,0.15396642684936523,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8186,127.0999984741211,-2.0999999046325684,0.1539725959300995,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8275,127.0999984741211,-2.0999999046325684,0.15397091209888458,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8368,127.0999984741211,-2.0999999046325684,0.15396496653556824,1.0,-1.9647597074508667,1.0,False,False,False,0
0.846,127.0999984741211,-2.0999999046325684,0.15396878123283386,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8504,127.0999984741211,-2.0999999046325684,0.1539781391620636,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8594,127.0999984741211,-2.0999999046325684,0.15399718284606934,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8683,127.0999984741211,-2.0999999046325684,0.1539955884218216,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8774,127.0999984741211,-2.0999999046325684,0.15398617088794708,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8864,127.0999984741211,-2.0999999046325684,0.1539904624223709,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8952,127.0999984741211,-2.0999999046325684,0.15400883555412292,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9046,127.0999984741211,-2.0999999046325684,0.15402793884277344,1.0,-1.9647597074508667,1.0,False,False,False,0
0.909,127.0999984741211,-2.0999999046325684,0.15403509140014648,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9182,127.0999984741211,-2.0999999046325684,0.15405020117759705,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9277,127.0999984741211,-2.0999999046325684,0.15405285358428955,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9367,127.0999984741211,-2.0999999046325684,0.1540481001138687,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9458,127.0999984741211,-2.0999999046325684,0.1540432721376419,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9507,127.0999984741211,-2.0999999046325684,0.1540432721376419,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9597,127.0999984741211,-2.0999999046325684,0.15404780209064484,1.0,-1.9647597074508667,1.0,False,False,False,0
0.969,127.0999984741211,-2.0999999046325684,0.15404778718948364,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9781,127.0999984741211,-2.0999999046325684,0.15404021739959717,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9869,127.0999984741211,-2.0999999046325684,0.1540328562259674,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9919,127.0999984741211,-2.0999999046325684,0.154038667678833,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0008,127.0999984741211,-2.0999999046325684,0.15405422449111938,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0104,127.0999984741211,-2.0999999046325684,0.15407074987888336,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0195,127.0999984741211,-2.0999999046325684,0.15408600866794586,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0285,127.0999984741211,-2.0999999046325684,0.1541006863117218,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0379,127.0999984741211,-2.0999999046325684,0.15408389270305634,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0423,127.0999984741211,-2.0999999046325684,0.1540762335062027,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0516,127.0999984741211,-2.0999999046325684,0.15406548976898193,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0608,127.0999984741211,-2.0999999046325684,0.15406548976898193,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0698,127.0999984741211,-2.0999999046325684,0.15406548976898193,1.0,-1.9647597074508667,1.0,False,False,False,0
1.079,127.0999984741211,-2.0999999046325684,0.1540861427783966,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0836,127.0999984741211,-2.0999999046325684,0.1540965735912323,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0925,127.0999984741211,-2.0999999046325684,0.15411624312400818,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1021,127.0999984741211,-2.0999999046325684,0.15413758158683777,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1112,127.0999984741211,-2.0999999046325684,0.15415719151496887,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1202,127.0999984741211,-2.0999999046325684,0.15417060256004333,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1251,127.0999984741211,-2.0999999046325684,0.15417781472206116,1.0,-1.9647597074508667,1.0,False,False,False,0
1.134,127.0999984741211,-2.0999999046325684,0.15417855978012085,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1434,127.0999984741211,-2.0999999046325684,0.1541602611541748,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1525,127.0999984741211,-2.0999999046325684,0.15414932370185852,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1614,127.0999984741211,-2.0999999046325684,0.15416473150253296,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1708,127.0999984741211,-2.0999999046325684,0.15417613089084625,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1751,127.0999984741211,-2.0999999046325684,0.1541716307401657,1.0,-1.9647597074508667,1.0,False,False,False,0
1.185,127.0999984741211,-2.0999999046325684,0.15416142344474792,1.0,-1.9647597074508667,1.0,False,False,False,0
1.194,127.0999984741211,-2.0999999046325684,0.15416038036346436,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2029,127.0999984741211,-2.0999999046325684,0.1541702300310135,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2121,127.0999984741211,-2.0999999046325684,0.15418007969856262,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2168,127.0999984741211,-2.0999999046325684,0.15418335795402527,1.0,-1.9647597074508667,1.0,False,False,False,0
1.226,127.0999984741211,-2.0999999046325684,0.15418986976146698,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2353,127.0999984741211,-2.0999999046325684,0.15419547259807587,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2443,127.0999984741211,-2.0999999046325684,0.15419821441173553,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2536,127.0999984741211,-2.0999999046325684,0.15419800579547882,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2628,127.0999984741211,-2.0999999046325684,0.15417766571044922,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2673,127.0999984741211,-2.0999999046325684,0.15416771173477173,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2765,127.0999984741211,-2.0999999046325684,0.15415695309638977,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2859,127.0999984741211,-2.0999999046325684,0.15416786074638367,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2948,127.0999984741211,-2.0999999046325684,0.15417048335075378,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3041,127.0999984741211,-2.0999999046325684,0.15415167808532715,1.0,-1.9647597074508667,1.0,False,False,False,0
