,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0022,127.0999984741211,-2.0999999046325684,0.2722291946411133,0.0,0.0,0.0,False,False,False,0
0.0116,127.0999984741211,-2.0999999046325684,0.2697850465774536,0.0,0.0,0.0,False,False,False,0
0.0176,127.0999984741211,-2.0999999046325684,0.2668774127960205,0.0,0.0,0.0,False,False,False,0
0.0267,127.0999984741211,-2.0999999046325684,0.2662670612335205,0.0,0.0,0.0,False,False,False,0
0.0362,127.0999984741211,-2.0999999046325684,0.2658437192440033,0.0,0.0,0.0,False,False,False,0
0.0427,127.0999984741211,-2.0999999046325684,0.2598695456981659,0.0,0.0,0.0,False,False,False,0
0.0519,127.0999984741211,-2.0999999046325684,0.2501058280467987,0.0,0.0,0.0,False,False,False,0
0.061,127.0999984741211,-2.0999999046325684,0.25000646710395813,0.0,0.0,0.0,False,False,False,0
0.0668,127.0999984741211,-2.0999999046325684,0.24994246661663055,0.0,0.0,0.0,False,False,False,0
0.0767,127.0999984741211,-2.0999999046325684,0.24983416497707367,0.0,0.0,0.0,False,False,False,0
0.0856,127.0999984741211,-2.0999999046325684,0.249736487865448,0.0,0.0,0.0,False,False,False,0
0.0945,127.0999984741211,-2.0999999046325684,0.24963919818401337,0.0,0.0,0.0,False,False,False,0
0.1007,127.0999984741211,-2.0999999046325684,0.2495715469121933,0.0,0.0,0.0,False,False,False,0
0.1096,127.0999984741211,-2.0999999046325684,0.24947455525398254,0.0,0.0,0.0,False,False,False,0
0.1187,127.0999984741211,-2.0999999046325684,0.24937495589256287,0.0,0.0,0.0,False,False,False,0
0.1278,127.0999984741211,-2.0999999046325684,0.24927480518817902,0.0,0.0,0.0,False,False,False,0
0.1336,127.0999984741211,-2.0999999046325684,0.24921201169490814,0.0,0.0,0.0,False,False,False,0
0.1428,127.0999984741211,-2.0999999046325684,0.24911071360111237,0.0,0.0,0.0,False,False,False,0
0.1516,127.0999984741211,-2.0999999046325684,0.24901466071605682,0.0,0.0,0.0,False,False,False,0
0.1606,127.0999984741211,-2.0999999046325684,0.24891652166843414,0.0,0.0,0.0,False,False,False,0
0.1701,127.0999984741211,-2.0999999046325684,0.24881240725517273,0.0,0.0,0.0,False,False,False,0
0.1756,127.0999984741211,-2.0999999046325684,0.24875253438949585,0.0,0.0,0.0,False,False,False,0
0.1849,127.0999984741211,-2.0999999046325684,0.2486504167318344,0.0,0.0,0.0,False,False,False,0
0.1938,127.0999984741211,-2.0999999046325684,0.24855229258537292,0.0,0.0,0.0,False,False,False,0
