,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.002,127.0999984741211,-2.0999999046325684,0.2726103961467743,0.0,0.0,0.0,False,False,False,0
0.0121,127.0999984741211,-2.0999999046325684,0.27040836215019226,0.0,0.0,0.0,False,False,False,0
0.018,127.0999984741211,-2.0999999046325684,0.2683178186416626,0.0,0.0,0.0,False,False,False,0
0.027,127.0999984741211,-2.0999999046325684,0.2682846486568451,0.0,0.0,0.0,False,False,False,0
0.036,127.0999984741211,-2.0999999046325684,0.26825186610221863,0.0,0.0,0.0,False,False,False,0
0.0431,127.0999984741211,-2.0999999046325684,0.26822561025619507,0.0,0.0,0.0,False,False,False,0
0.0525,127.0999984741211,-2.0999999046325684,0.26819106936454773,0.0,0.0,0.0,False,False,False,0
0.0585,127.0999984741211,-2.0999999046325684,0.2681693136692047,0.0,0.0,0.0,False,False,False,0
0.0676,127.0999984741211,-2.0999999046325684,0.2681359350681305,0.0,0.0,0.0,False,False,False,0
0.0766,127.0999984741211,-2.0999999046325684,0.26810261607170105,0.0,0.0,0.0,False,False,False,0
0.0859,127.0999984741211,-2.0999999046325684,0.268068790435791,0.0,0.0,0.0,False,False,False,0
0.0924,127.0999984741211,-2.0999999046325684,0.26804491877555847,0.0,0.0,0.0,False,False,False,0
0.1013,127.0999984741211,-2.0999999046325684,0.2680121660232544,0.0,0.0,0.0,False,False,False,0
0.11,127.0999984741211,-2.0999999046325684,0.2679803669452667,0.0,0.0,0.0,False,False,False,0
0.1196,127.0999984741211,-2.0999999046325684,0.26794520020484924,0.0,0.0,0.0,False,False,False,0
0.1254,127.0999984741211,-2.0999999046325684,0.2679238021373749,0.0,0.0,0.0,False,False,False,0
0.1346,127.0999984741211,-2.0999999046325684,0.26789018511772156,0.0,0.0,0.0,False,False,False,0
0.1437,127.0999984741211,-2.0999999046325684,0.26785680651664734,0.0,0.0,0.0,False,False,False,0
0.1527,127.0999984741211,-2.0999999046325684,0.2678236663341522,0.0,0.0,0.0,False,False,False,0
0.1591,127.0999984741211,-2.0999999046325684,0.26780012249946594,0.0,0.0,0.0,False,False,False,0
