,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0037,127.0999984741211,-2.0999999046325684,0.2698562443256378,0.0,0.0,0.0,False,False,False,0
0.0097,127.0999984741211,-2.0999999046325684,0.2684122622013092,0.0,0.0,0.0,False,False,False,0
0.0184,127.0999984741211,-2.0999999046325684,0.2634987533092499,0.0,0.0,0.0,False,False,False,0
0.0272,127.0999984741211,-2.0999999046325684,0.259768009185791,0.0,0.0,0.0,False,False,False,0
0.0377,127.0999984741211,-2.0999999046325684,0.25504162907600403,0.0,0.0,0.0,False,False,False,0
0.0422,127.0999984741211,-2.0999999046325684,0.2549372911453247,0.0,0.0,0.0,False,False,False,0
0.0514,127.0999984741211,-2.0999999046325684,0.2547236680984497,0.0,0.0,0.0,False,False,False,0
0.0608,127.0999984741211,-2.0999999046325684,0.2545045018196106,0.0,0.0,0.0,False,False,False,0
0.0708,127.0999984741211,-2.0999999046325684,0.2542722523212433,0.0,0.0,0.0,False,False,False,0
0.0755,127.0999984741211,-2.0999999046325684,0.2541622817516327,0.0,0.0,0.0,False,False,False,0
0.0844,127.0999984741211,-2.0999999046325684,0.2539559602737427,0.0,0.0,0.0,False,False,False,0
0.0934,127.0999984741211,-2.0999999046325684,0.25374528765678406,0.0,0.0,0.0,False,False,False,0
0.1023,127.0999984741211,-2.0999999046325684,0.2535378634929657,0.0,0.0,0.0,False,False,False,0
0.1117,127.0999984741211,-2.0999999046325684,0.25332048535346985,0.0,0.0,0.0,False,False,False,0
0.1206,127.0999984741211,-2.0999999046325684,0.2531120181083679,0.0,0.0,0.0,False,False,False,0
0.1254,127.0999984741211,-2.0999999046325684,0.2530011534690857,0.0,0.0,0.0,False,False,False,0
0.1344,127.0999984741211,-2.0999999046325684,0.25279074907302856,0.0,0.0,0.0,False,False,False,0
0.1436,127.0999984741211,-2.0999999046325684,0.2525763213634491,0.0,0.0,0.0,False,False,False,0
0.1532,127.0999984741211,-2.0999999046325684,0.25235363841056824,0.0,0.0,0.0,False,False,False,0
0.162,127.0999984741211,-2.0999999046325684,0.2521491050720215,0.0,0.0,0.0,False,False,False,0
0.1667,127.0999984741211,-2.0999999046325684,0.25203806161880493,0.0,0.0,0.0,False,False,False,0
0.1755,127.0999984741211,-2.0999999046325684,0.25183460116386414,0.0,0.0,0.0,False,False,False,0
0.185,127.0999984741211,-2.0999999046325684,0.25161218643188477,0.0,0.0,0.0,False,False,False,0
0.1942,127.0999984741211,-2.0999999046325684,0.251398503780365,0.0,0.0,0.0,False,False,False,0
0.2032,127.0999984741211,-2.0999999046325684,0.25119009613990784,0.0,0.0,0.0,False,False,False,0
0.2124,127.0999984741211,-2.0999999046325684,0.250974178314209,0.0,0.0,0.0,False,False,False,0
0.2168,127.0999984741211,-2.0999999046325684,0.25087347626686096,0.0,0.0,0.0,False,False,False,0
0.2263,127.0999984741211,-2.0999999046325684,0.24498939514160156,0.0,0.0,0.0,False,False,False,0
0.2352,127.0999984741211,-2.0999999046325684,0.22768907248973846,0.0,0.0,0.0,False,False,False,0
0.2438,127.0999984741211,-2.0999999046325684,0.21078874170780182,0.0,0.0,0.0,False,False,False,0
0.2532,127.0999984741211,-2.0999999046325684,0.19240154325962067,0.0,0.0,0.0,False,False,False,0
0.2621,127.0999984741211,-2.0999999046325684,0.18131513893604279,0.0,0.0,0.0,False,False,False,0
0.2668,127.0999984741211,-2.0999999046325684,0.1793934553861618,0.0,0.0,0.0,False,False,False,0
0.2758,127.0999984741211,-2.0999999046325684,0.17571134865283966,0.0,0.0,0.0,False,False,False,0
0.2845,127.0999984741211,-2.0999999046325684,0.17216655611991882,0.0,0.0,0.0,False,False,False,0
0.2936,127.0999984741211,-2.0999999046325684,0.17064082622528076,0.0,0.0,0.0,False,False,False,0
0.3027,127.0999984741211,-2.0999999046325684,0.1691291779279709,0.0,0.0,0.0,False,False,False,0
0.3115,127.0999984741211,-2.0999999046325684,0.16765575110912323,0.0,0.0,0.0,False,False,False,0
0.3206,127.0999984741211,-2.0999999046325684,0.16610248386859894,0.0,0.0,0.0,False,False,False,0
0.3297,127.0999984741211,-2.0999999046325684,0.16437742114067078,0.0,0.0,0.0,False,False,False,0
0.3342,127.0999984741211,-2.0999999046325684,0.163533553481102,0.0,0.0,0.0,False,False,False,0
0.3432,127.0999984741211,-2.0999999046325684,0.16183318197727203,0.0,0.0,0.0,False,False,False,0
0.352,127.0999984741211,-2.0999999046325684,0.16064736247062683,0.0,0.0,0.0,False,False,False,0
0.3612,127.0999984741211,-2.0999999046325684,0.1595171093940735,0.0,0.0,0.0,False,False,False,0
0.3703,127.0999984741211,-2.0999999046325684,0.1586056500673294,0.0,0.0,0.0,False,False,False,0
0.379,127.0999984741211,-2.0999999046325684,0.1579369455575943,0.0,0.0,0.0,False,False,False,0
0.3837,127.0999984741211,-2.0999999046325684,0.1575770378112793,0.0,0.0,0.0,False,False,False,0
0.3927,127.0999984741211,-2.0999999046325684,0.15717777609825134,0.0,0.0,0.0,False,False,False,0
0.4016,127.0999984741211,-2.0999999046325684,0.15682850778102875,0.0,0.0,0.0,False,False,False,0
0.4107,127.0999984741211,-2.0999999046325684,0.15646959841251373,0.0,0.0,0.0,False,False,False,0
0.4197,127.0999984741211,-2.0999999046325684,0.1560858190059662,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4286,127.0999984741211,-2.0999999046325684,0.1557021588087082,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4381,127.0999984741211,-2.0999999046325684,0.1553293615579605,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4422,127.0999984741211,-2.0999999046325684,0.15521681308746338,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4513,127.0999984741211,-2.0999999046325684,0.15496577322483063,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4603,127.0999984741211,-2.0999999046325684,0.15473349392414093,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4693,127.0999984741211,-2.0999999046325684,0.15458250045776367,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4785,127.0999984741211,-2.0999999046325684,0.15442731976509094,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4876,127.0999984741211,-2.0999999046325684,0.15430909395217896,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4922,127.0999984741211,-2.0999999046325684,0.1542607992887497,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5012,127.0999984741211,-2.0999999046325684,0.1541660875082016,1.0,-1.9647597074508667,1.0,False,False,False,0
