,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0039,127.0999984741211,-2.0999999046325684,0.2703251838684082,0.0,0.0,0.0,False,False,False,0
0.0097,127.0999984741211,-2.0999999046325684,0.26996544003486633,0.0,0.0,0.0,False,False,False,0
0.0188,127.0999984741211,-2.0999999046325684,0.26986804604530334,0.0,0.0,0.0,False,False,False,0
0.0268,127.0999984741211,-2.0999999046325684,0.2697814404964447,0.0,0.0,0.0,False,False,False,0
0.0356,127.0999984741211,-2.0999999046325684,0.2696870267391205,0.0,0.0,0.0,False,False,False,0
0.0462,127.0999984741211,-2.0999999046325684,0.26957249641418457,0.0,0.0,0.0,False,False,False,0
0.0504,127.0999984741211,-2.0999999046325684,0.2695276141166687,0.0,0.0,0.0,False,False,False,0
0.0597,127.0999984741211,-2.0999999046325684,0.26942792534828186,0.0,0.0,0.0,False,False,False,0
0.0677,127.0999984741211,-2.0999999046325684,0.2693408727645874,0.0,0.0,0.0,False,False,False,0
0.0769,127.0999984741211,-2.0999999046325684,0.26924270391464233,0.0,0.0,0.0,False,False,False,0
0.0864,127.0999984741211,-2.0999999046325684,0.26914000511169434,0.0,0.0,0.0,False,False,False,0
0.0947,127.0999984741211,-2.0999999046325684,0.26905012130737305,0.0,0.0,0.0,False,False,False,0
0.1038,127.0999984741211,-2.0999999046325684,0.2689531445503235,0.0,0.0,0.0,False,False,False,0
0.1128,127.0999984741211,-2.0999999046325684,0.2688555419445038,0.0,0.0,0.0,False,False,False,0
0.117,127.0999984741211,-2.0999999046325684,0.2688100039958954,0.0,0.0,0.0,False,False,False,0
0.126,127.0999984741211,-2.0999999046325684,0.2687140703201294,0.0,0.0,0.0,False,False,False,0
0.1343,127.0999984741211,-2.0999999046325684,0.26862409710884094,0.0,0.0,0.0,False,False,False,0
0.1434,127.0999984741211,-2.0999999046325684,0.2685264050960541,0.0,0.0,0.0,False,False,False,0
0.1525,127.0999984741211,-2.0999999046325684,0.268428772687912,0.0,0.0,0.0,False,False,False,0
0.1613,127.0999984741211,-2.0999999046325684,0.2683331370353699,0.0,0.0,0.0,False,False,False,0
0.1702,127.0999984741211,-2.0999999046325684,0.268237441778183,0.0,0.0,0.0,False,False,False,0
0.1793,127.0999984741211,-2.0999999046325684,0.26813963055610657,0.0,0.0,0.0,False,False,False,0
0.1836,127.0999984741211,-2.0999999046325684,0.2680934965610504,0.0,0.0,0.0,False,False,False,0
0.1924,127.0999984741211,-2.0999999046325684,0.26799890398979187,0.0,0.0,0.0,False,False,False,0
0.201,127.0999984741211,-2.0999999046325684,0.26790615916252136,0.0,0.0,0.0,False,False,False,0
0.2105,127.0999984741211,-2.0999999046325684,0.26780447363853455,0.0,0.0,0.0,False,False,False,0
0.2192,127.0999984741211,-2.0999999046325684,0.2611081600189209,0.0,0.0,0.0,False,False,False,0
0.2272,127.0999984741211,-2.0999999046325684,0.24782346189022064,0.0,0.0,0.0,False,False,False,0
0.2361,127.0999984741211,-2.0999999046325684,0.23297224938869476,0.0,0.0,0.0,False,False,False,0
0.2453,127.0999984741211,-2.0999999046325684,0.21755382418632507,0.0,0.0,0.0,False,False,False,0
0.2539,127.0999984741211,-2.0999999046325684,0.20313645899295807,0.0,0.0,0.0,False,False,False,0
0.2585,127.0999984741211,-2.0999999046325684,0.19676753878593445,0.0,0.0,0.0,False,False,False,0
0.2668,127.0999984741211,-2.0999999046325684,0.19214047491550446,0.0,0.0,0.0,False,False,False,0
0.2757,127.0999984741211,-2.0999999046325684,0.18715167045593262,0.0,0.0,0.0,False,False,False,0
0.2855,127.0999984741211,-2.0999999046325684,0.1817357987165451,0.0,0.0,0.0,False,False,False,0
0.2938,127.0999984741211,-2.0999999046325684,0.17830194532871246,0.0,0.0,0.0,False,False,False,0
0.3027,127.0999984741211,-2.0999999046325684,0.1761254072189331,0.0,0.0,0.0,False,False,False,0
0.3115,127.0999984741211,-2.0999999046325684,0.1739773154258728,0.0,0.0,0.0,False,False,False,0
0.3202,127.0999984741211,-2.0999999046325684,0.1718636304140091,0.0,0.0,0.0,False,False,False,0
0.3251,127.0999984741211,-2.0999999046325684,0.17065982520580292,0.0,0.0,0.0,False,False,False,0
0.3336,127.0999984741211,-2.0999999046325684,0.16887174546718597,0.0,0.0,0.0,False,False,False,0
0.343,127.0999984741211,-2.0999999046325684,0.16695527732372284,0.0,0.0,0.0,False,False,False,0
0.3519,127.0999984741211,-2.0999999046325684,0.16514867544174194,0.0,0.0,0.0,False,False,False,0
0.3603,127.0999984741211,-2.0999999046325684,0.1634703278541565,0.0,0.0,0.0,False,False,False,0
0.3693,127.0999984741211,-2.0999999046325684,0.16182932257652283,0.0,0.0,0.0,False,False,False,0
