t,x,y,z,velocity,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0044,127.0999984741211,-2.0999999046325684,0.2708438038825989,0.0,0.0,0.0,0.0,False,False,False,0
0.0095,127.0999984741211,-2.0999999046325684,0.2703115344047546,0.0,0.0,0.0,0.0,False,False,False,0
0.018,127.0999984741211,-2.0999999046325684,0.2658410370349884,0.0,0.0,0.0,0.0,False,False,False,0
0.0262,127.0999984741211,-2.0999999046325684,0.2653986811637878,0.0,0.0,0.0,0.0,False,False,False,0
0.0352,127.0999984741211,-2.0999999046325684,0.2653484940528869,0.0,0.0,0.0,0.0,False,False,False,0
0.0458,127.0999984741211,-2.0999999046325684,0.2652895152568817,0.0,0.0,0.0,0.0,False,False,False,0
0.0541,127.0999984741211,-2.0999999046325684,0.2652430236339569,0.0,0.0,0.0,0.0,False,False,False,0
0.0589,127.0999984741211,-2.0999999046325684,0.265216588973999,0.0,0.0,0.0,0.0,False,False,False,0
0.0675,127.0999984741211,-2.0999999046325684,0.2651687264442444,0.0,0.0,0.0,0.0,False,False,False,0
0.0763,127.0999984741211,-2.0999999046325684,0.2651196718215942,0.0,0.0,0.0,0.0,False,False,False,0
0.085,127.0999984741211,-2.0999999046325684,0.2650715112686157,0.0,0.0,0.0,0.0,False,False,False,0
0.0931,127.0999984741211,-2.0999999046325684,0.2650264203548431,0.0,0.0,0.0,0.0,False,False,False,0
0.1026,127.0999984741211,-2.0999999046325684,0.2649732530117035,0.0,0.0,0.0,0.0,False,False,False,0
0.1113,127.0999984741211,-2.0999999046325684,0.2649249732494354,0.0,0.0,0.0,0.0,False,False,False,0
0.1196,127.0999984741211,-2.0999999046325684,0.2648787796497345,0.0,0.0,0.0,0.0,False,False,False,0
0.128,127.0999984741211,-2.0999999046325684,0.264832079410553,0.0,0.0,0.0,0.0,False,False,False,0
0.1369,127.0999984741211,-2.0999999046325684,0.2647823393344879,0.0,0.0,0.0,0.0,False,False,False,0
0.1452,127.0999984741211,-2.0999999046325684,0.2647362351417541,0.0,0.0,0.0,0.0,False,False,False,0
0.1542,127.0999984741211,-2.0999999046325684,0.2646862864494324,0.0,0.0,0.0,0.0,False,False,False,0
0.1584,127.0999984741211,-2.0999999046325684,0.2646630108356476,0.0,0.0,0.0,0.0,False,False,False,0
0.1671,127.0999984741211,-2.0999999046325684,0.264614462852478,0.0,0.0,0.0,0.0,False,False,False,0
0.1764,127.0999984741211,-2.0999999046325684,0.2645626962184906,0.0,0.0,0.0,0.0,False,False,False,0
0.1845,127.0999984741211,-2.0999999046325684,0.2645176947116852,0.0,0.0,0.0,0.0,False,False,False,0
0.1932,127.0999984741211,-2.0999999046325684,0.2644693255424499,0.0,0.0,0.0,0.0,False,False,False,0
0.2016,127.0999984741211,-2.0999999046325684,0.2644221484661102,0.0,0.0,0.0,0.0,False,False,False,0
0.2103,127.0999984741211,-2.0999999046325684,0.2471068501472473,0.0,0.0,0.0,0.0,False,False,False,0
0.2194,127.0999984741211,-2.0999996662139893,0.2267991453409195,5.860747871818107e-05,0.0,0.0,0.0,False,False,False,0
0.2275,127.0999984741211,-2.0999996662139893,0.2087485790252685,0.0,0.0,0.0,0.0,False,False,False,0
0.2366,127.0999984741211,-2.0999996662139893,0.192201480269432,0.0,0.0,0.0,0.0,False,False,False,0
0.2454,127.0999984741211,-2.0999996662139893,0.1879850327968597,0.0,0.0,0.0,0.0,False,False,False,0
0.2535,127.0999984741211,-2.0999999046325684,0.1840882897377014,6.584296991795674e-05,0.0,0.0,0.0,False,False,False,0
0.2624,127.0999984741211,-2.0999999046325684,0.1798513531684875,0.0,0.0,0.0,0.0,False,False,False,0
0.2668,127.0999984741211,-2.0999999046325684,0.1780368536710739,0.0,0.0,0.0,0.0,False,False,False,0
0.2759,127.0999984741211,-2.0999999046325684,0.1742780655622482,0.0,0.0,0.0,0.0,False,False,False,0
0.2845,127.0999984741211,-2.0999999046325684,0.1712727546691894,0.0,0.0,0.0,0.0,False,False,False,0
0.2926,127.0999984741211,-2.0999999046325684,0.1696816980838775,0.0,0.0,0.0,0.0,False,False,False,0
0.3018,127.0999984741211,-2.0999999046325684,0.1678724288940429,0.0,0.0,0.0,0.0,False,False,False,0
0.3107,127.0999984741211,-2.0999999046325684,0.1661790311336517,0.0,0.0,0.0,0.0,False,False,False,0
0.319,127.0999984741211,-2.0999999046325684,0.1645945161581039,0.0,0.0,0.0,0.0,False,False,False,0
0.3276,127.0999984741211,-2.0999999046325684,0.1632332503795623,0.0,0.0,0.0,0.0,False,False,False,0
0.3364,127.0999984741211,-2.0999999046325684,0.1620725095272064,0.0,0.0,0.0,0.0,False,False,False,0
