,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.002,127.0999984741211,-2.0999999046325684,0.27022790908813477,0.0,0.0,0.0,False,False,False,0
0.011,127.0999984741211,-2.0999999046325684,0.2696375250816345,0.0,0.0,0.0,False,False,False,0
0.0175,127.0999984741211,-2.0999999046325684,0.26921895146369934,0.0,0.0,0.0,False,False,False,0
0.0267,127.0999984741211,-2.0999999046325684,0.2686128616333008,0.0,0.0,0.0,False,False,False,0
0.0364,127.0999984741211,-2.0999999046325684,0.2679789066314697,0.0,0.0,0.0,False,False,False,0
0.0455,127.0999984741211,-2.0999999046325684,0.2673879563808441,0.0,0.0,0.0,False,False,False,0
0.0506,127.0999984741211,-2.0999999046325684,0.267050176858902,0.0,0.0,0.0,False,False,False,0
0.0599,127.0999984741211,-2.0999999046325684,0.26644250750541687,0.0,0.0,0.0,False,False,False,0
0.0684,127.0999984741211,-2.0999999046325684,0.2658911943435669,0.0,0.0,0.0,False,False,False,0
0.0776,127.0999984741211,-2.0999999046325684,0.2652861475944519,0.0,0.0,0.0,False,False,False,0
0.0864,127.0999984741211,-2.0999999046325684,0.2647145688533783,0.0,0.0,0.0,False,False,False,0
0.0951,127.0999984741211,-2.0999999046325684,0.2641468346118927,0.0,0.0,0.0,False,False,False,0
0.1002,127.0999984741211,-2.0999999046325684,0.2638120651245117,0.0,0.0,0.0,False,False,False,0
0.1085,127.0999984741211,-2.0999999046325684,0.2632700800895691,0.0,0.0,0.0,False,False,False,0
0.1179,127.0999984741211,-2.0999999046325684,0.2626553773880005,0.0,0.0,0.0,False,False,False,0
0.1268,127.0999984741211,-2.0999999046325684,0.25153911113739014,0.0,0.0,0.0,False,False,False,0
0.1351,127.0999984741211,-2.0999999046325684,0.23386968672275543,0.0,0.0,0.0,False,False,False,0
0.1449,127.0999984741211,-2.0999999046325684,0.21300466358661652,0.0,0.0,0.0,False,False,False,0
0.1536,127.0999984741211,-2.0999999046325684,0.1942843794822693,0.0,0.0,0.0,False,False,False,0
0.162,127.0999984741211,-2.0999999046325684,0.1872064620256424,0.0,0.0,0.0,False,False,False,0
0.1668,127.0999984741211,-2.0999999046325684,0.1845303177833557,0.0,0.0,0.0,False,False,False,0
0.1756,127.0999984741211,-2.0999999046325684,0.1795971840620041,0.0,0.0,0.0,False,False,False,0
0.1849,127.0999984741211,-2.0999999046325684,0.17583897709846497,0.0,0.0,0.0,False,False,False,0
0.1938,127.0999984741211,-2.0999999046325684,0.1729097068309784,0.0,0.0,0.0,False,False,False,0
