,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0034,127.0999984741211,-2.0999999046325684,0.27091023325920105,0.0,0.0,0.0,False,False,False,0
0.0088,127.0999984741211,-2.0999999046325684,0.2690647542476654,0.0,0.0,0.0,False,False,False,0
0.0189,127.0999984741211,-2.0999999046325684,0.26514261960983276,0.0,0.0,0.0,False,False,False,0
0.028,127.0999984741211,-2.0999999046325684,0.26482972502708435,0.0,0.0,0.0,False,False,False,0
0.0381,127.0999984741211,-2.0999999046325684,0.2647579610347748,0.0,0.0,0.0,False,False,False,0
0.0446,127.0999984741211,-2.0999999046325684,0.26471176743507385,0.0,0.0,0.0,False,False,False,0
0.0528,127.0999984741211,-2.0999999046325684,0.26465320587158203,0.0,0.0,0.0,False,False,False,0
0.0627,127.0999984741211,-2.0999999046325684,0.26458317041397095,0.0,0.0,0.0,False,False,False,0
0.0668,127.0999984741211,-2.0999999046325684,0.26455360651016235,0.0,0.0,0.0,False,False,False,0
0.077,127.0999984741211,-2.0999999046325684,0.2644812762737274,0.0,0.0,0.0,False,False,False,0
0.0868,127.0999984741211,-2.0999999046325684,0.26441171765327454,0.0,0.0,0.0,False,False,False,0
0.0967,127.0999984741211,-2.0999999046325684,0.26434126496315,0.0,0.0,0.0,False,False,False,0
0.1,127.0999984741211,-2.0999999046325684,0.2643175721168518,0.0,0.0,0.0,False,False,False,0
0.1101,127.0999984741211,-2.0999999046325684,0.2642457187175751,0.0,0.0,0.0,False,False,False,0
0.119,127.0999984741211,-2.0999999046325684,0.264182448387146,0.0,0.0,0.0,False,False,False,0
0.1282,127.0999984741211,-2.0999999046325684,0.2641170620918274,0.0,0.0,0.0,False,False,False,0
0.1381,127.0999984741211,-2.0999999046325684,0.2640472650527954,0.0,0.0,0.0,False,False,False,0
0.143,127.0999984741211,-2.0999999046325684,0.2640122175216675,0.0,0.0,0.0,False,False,False,0
0.1521,127.0999984741211,-2.0999999046325684,0.26394766569137573,0.0,0.0,0.0,False,False,False,0
0.161,127.0999984741211,-2.0999999046325684,0.2638840079307556,0.0,0.0,0.0,False,False,False,0
0.17,127.0999984741211,-2.0999999046325684,0.26381996273994446,0.0,0.0,0.0,False,False,False,0
0.1754,127.0999984741211,-2.0999999046325684,0.26378151774406433,0.0,0.0,0.0,False,False,False,0
0.1851,127.0999984741211,-2.0999999046325684,0.26371273398399353,0.0,0.0,0.0,False,False,False,0
0.1941,127.0999984741211,-2.0999999046325684,0.26364865899086,0.0,0.0,0.0,False,False,False,0
0.2041,127.0999984741211,-2.0999999046325684,0.2572062313556671,0.0,0.0,0.0,False,False,False,0
0.2128,127.0999984741211,-2.0999999046325684,0.24054278433322906,0.0,0.0,0.0,False,False,False,0
0.218,127.0999984741211,-2.0999999046325684,0.23045440018177032,0.0,0.0,0.0,False,False,False,0
0.2275,127.0999984741211,-2.0999996662139893,0.2121679186820984,0.0,0.0,0.0,False,False,False,0
0.236,127.0999984741211,-2.0999996662139893,0.19590100646018982,0.0,0.0,0.0,False,False,False,0
0.2464,127.0999984741211,-2.0999996662139893,0.18835264444351196,0.0,0.0,0.0,False,False,False,0
0.2505,127.0999984741211,-2.0999996662139893,0.18658490478992462,0.0,0.0,0.0,False,False,False,0
0.2598,127.0999984741211,-2.0999999046325684,0.18247739970684052,0.0,0.0,0.0,False,False,False,0
0.2694,127.0999984741211,-2.0999999046325684,0.1782524138689041,0.0,0.0,0.0,False,False,False,0
