,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0032,127.0999984741211,-2.0999999046325684,0.2697053849697113,0.0,0.0,0.0,False,False,False,0
0.0089,127.0999984741211,-2.0999999046325684,0.267956405878067,0.0,0.0,0.0,False,False,False,0
0.0184,127.0999984741211,-2.0999999046325684,0.2643726170063019,0.0,0.0,0.0,False,False,False,0
0.0269,127.0999984741211,-2.0999999046325684,0.26004287600517273,0.0,0.0,0.0,False,False,False,0
0.0358,127.0999984741211,-2.0999999046325684,0.25476309657096863,0.0,0.0,0.0,False,False,False,0
0.046,127.0999984741211,-2.0999999046325684,0.24796193838119507,0.0,0.0,0.0,False,False,False,0
0.0539,127.0999984741211,-2.0999999046325684,0.24604828655719757,0.0,0.0,0.0,False,False,False,0
0.059,127.0999984741211,-2.0999999046325684,0.24594944715499878,0.0,0.0,0.0,False,False,False,0
0.0674,127.0999984741211,-2.0999999046325684,0.2457866221666336,0.0,0.0,0.0,False,False,False,0
0.0776,127.0999984741211,-2.0999999046325684,0.24559016525745392,0.0,0.0,0.0,False,False,False,0
0.087,127.0999984741211,-2.0999999046325684,0.2454083263874054,0.0,0.0,0.0,False,False,False,0
0.0954,127.0999984741211,-2.0999999046325684,0.24524763226509094,0.0,0.0,0.0,False,False,False,0
0.1043,127.0999984741211,-2.0999999046325684,0.24507462978363037,0.0,0.0,0.0,False,False,False,0
0.1085,127.0999984741211,-2.0999999046325684,0.2449943721294403,0.0,0.0,0.0,False,False,False,0
0.1177,127.0999984741211,-2.0999999046325684,0.2448168694972992,0.0,0.0,0.0,False,False,False,0
0.1266,127.0999984741211,-2.0999999046325684,0.24464404582977295,0.0,0.0,0.0,False,False,False,0
0.135,127.0999984741211,-2.0999999046325684,0.24448183178901672,0.0,0.0,0.0,False,False,False,0
0.1443,127.0999984741211,-2.0999999046325684,0.24430234730243683,0.0,0.0,0.0,False,False,False,0
0.1531,127.0999984741211,-2.0999999046325684,0.24413251876831055,0.0,0.0,0.0,False,False,False,0
0.1619,127.0999984741211,-2.0999999046325684,0.24396346509456635,0.0,0.0,0.0,False,False,False,0
0.1706,127.0999984741211,-2.0999999046325684,0.24379560351371765,0.0,0.0,0.0,False,False,False,0
0.1752,127.0999984741211,-2.0999999046325684,0.24370664358139038,0.0,0.0,0.0,False,False,False,0
0.1844,127.0999984741211,-2.0999999046325684,0.24352829158306122,0.0,0.0,0.0,False,False,False,0
0.1932,127.0999984741211,-2.0999999046325684,0.24336011707782745,0.0,0.0,0.0,False,False,False,0
0.2016,127.0999984741211,-2.0999999046325684,0.24319662153720856,0.0,0.0,0.0,False,False,False,0
0.2106,127.0999984741211,-2.0999999046325684,0.24302245676517487,0.0,0.0,0.0,False,False,False,0
0.2198,127.0999984741211,-2.0999999046325684,0.24284669756889343,0.0,0.0,0.0,False,False,False,0
0.2279,127.0999984741211,-2.0999999046325684,0.24268996715545654,0.0,0.0,0.0,False,False,False,0
0.2372,127.0999984741211,-2.0999999046325684,0.2425091564655304,0.0,0.0,0.0,False,False,False,0
0.2462,127.0999984741211,-2.0999999046325684,0.24233628809452057,0.0,0.0,0.0,False,False,False,0
0.2504,127.0999984741211,-2.0999999046325684,0.24225585162639618,0.0,0.0,0.0,False,False,False,0
0.2593,127.0999984741211,-2.0999999046325684,0.2420831173658371,0.0,0.0,0.0,False,False,False,0
0.2676,127.0999984741211,-2.0999999046325684,0.2382955104112625,0.0,0.0,0.0,False,False,False,0
0.2766,127.0999984741211,-2.0999999046325684,0.22422152757644653,0.0,0.0,0.0,False,False,False,0
0.2859,127.0999984741211,-2.0999999046325684,0.20974856615066528,0.0,0.0,0.0,False,False,False,0
0.2943,127.0999984741211,-2.0999999046325684,0.19657489657402039,0.0,0.0,0.0,False,False,False,0
0.3031,127.0999984741211,-2.0999999046325684,0.18279960751533508,0.0,0.0,0.0,False,False,False,0
0.3127,127.0999984741211,-2.0999999046325684,0.1758888065814972,0.0,0.0,0.0,False,False,False,0
0.3169,127.0999984741211,-2.0999999046325684,0.1741635650396347,0.0,0.0,0.0,False,False,False,0
0.3256,127.0999984741211,-2.0999999046325684,0.17053432762622833,0.0,0.0,0.0,False,False,False,0
0.3339,127.0999984741211,-2.0999999046325684,0.1678151786327362,0.0,0.0,0.0,False,False,False,0
0.3436,127.0999984741211,-2.0999999046325684,0.16626441478729248,0.0,0.0,0.0,False,False,False,0
0.3525,127.0999984741211,-2.0999999046325684,0.16484352946281433,0.0,0.0,0.0,False,False,False,0
0.361,127.0999984741211,-2.0999999046325684,0.16348442435264587,0.0,0.0,0.0,False,False,False,0
0.3695,127.0999984741211,-2.0999999046325684,0.1620846390724182,0.0,0.0,0.0,False,False,False,0
0.3788,127.0999984741211,-2.0999999046325684,0.16054534912109375,0.0,0.0,0.0,False,False,False,0
0.3872,127.0999984741211,-2.0999999046325684,0.15973559021949768,0.0,0.0,0.0,False,False,False,0
0.3919,127.0999984741211,-2.0999999046325684,0.15932075679302216,0.0,0.0,0.0,False,False,False,0
0.4004,127.0999984741211,-2.0999999046325684,0.15857189893722534,0.0,0.0,0.0,False,False,False,0
0.4091,127.0999984741211,-2.0999999046325684,0.15800820291042328,0.0,0.0,0.0,False,False,False,0
0.4188,127.0999984741211,-2.0999999046325684,0.15737880766391754,0.0,0.0,0.0,False,False,False,0
0.4273,127.0999984741211,-2.0999999046325684,0.15692976117134094,1.0,-1.9647597074508667,1.0,False,False,False,0
0.436,127.0999984741211,-2.0999999046325684,0.15651684999465942,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4448,127.0999984741211,-2.0999999046325684,0.15611180663108826,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4536,127.0999984741211,-2.0999999046325684,0.15579693019390106,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4624,127.0999984741211,-2.0999999046325684,0.15547676384449005,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4668,127.0999984741211,-2.0999999046325684,0.15532773733139038,1.0,-1.9647597074508667,1.0,False,False,False,0
0.476,127.0999984741211,-2.0999999046325684,0.1550946831703186,1.0,-1.9647597074508667,1.0,False,False,False,0
0.485,127.0999984741211,-2.0999999046325684,0.15486641228199005,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4933,127.0999984741211,-2.0999999046325684,0.1546977162361145,1.0,-1.9647597074508667,1.0,False,False,False,0
0.502,127.0999984741211,-2.0999999046325684,0.15455429255962372,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5113,127.0999984741211,-2.0999999046325684,0.15439976751804352,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5197,127.0999984741211,-2.0999999046325684,0.15428918600082397,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5287,127.0999984741211,-2.0999999046325684,0.15417619049549103,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5372,127.0999984741211,-2.0999999046325684,0.15407098829746246,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5417,127.0999984741211,-2.0999999046325684,0.15403224527835846,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5511,127.0999984741211,-2.0999999046325684,0.15395024418830872,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5596,127.0999984741211,-2.0999999046325684,0.15387916564941406,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5685,127.0999984741211,-2.0999999046325684,0.15384338796138763,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5769,127.0999984741211,-2.0999999046325684,0.15380911529064178,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5858,127.0999984741211,-2.0999999046325684,0.15378165245056152,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5949,127.0999984741211,-2.0999999046325684,0.15376204252243042,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6035,127.0999984741211,-2.0999999046325684,0.1537436544895172,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6122,127.0999984741211,-2.0999999046325684,0.1537349671125412,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6175,127.0999984741211,-2.0999999046325684,0.15373024344444275,1.0,-1.9647597074508667,1.0,False,False,False,0
0.626,127.0999984741211,-2.0999999046325684,0.15372268855571747,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6351,127.0999984741211,-2.0999999046325684,0.15372268855571747,1.0,-1.9647597074508667,1.0,False,False,False,0
0.644,127.0999984741211,-2.0999999046325684,0.15372391045093536,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6528,127.0999984741211,-2.0999999046325684,0.1537252515554428,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6615,127.0999984741211,-2.0999999046325684,0.15372782945632935,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6699,127.0999984741211,-2.0999999046325684,0.15373025834560394,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6795,127.0999984741211,-2.0999999046325684,0.15373286604881287,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6838,127.0999984741211,-2.0999999046325684,0.15373286604881287,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6926,127.0999984741211,-2.0999999046325684,0.1537339985370636,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7015,127.0999984741211,-2.0999999046325684,0.15373541414737701,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7097,127.0999984741211,-2.0999999046325684,0.1537526249885559,1.0,-1.9647597074508667,1.0,False,False,False,0
0.719,127.0999984741211,-2.0999999046325684,0.1537720113992691,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7279,127.0999984741211,-2.0999999046325684,0.1537848562002182,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7362,127.0999984741211,-2.0999999046325684,0.1537913978099823,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7454,127.0999984741211,-2.0999999046325684,0.15379856526851654,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7548,127.0999984741211,-2.0999999046325684,0.15380211174488068,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7588,127.0999984741211,-2.0999999046325684,0.15380321443080902,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7677,127.0999984741211,-2.0999999046325684,0.15380564332008362,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7759,127.0999984741211,-2.0999999046325684,0.15380682051181793,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7853,127.0999984741211,-2.0999999046325684,0.1538083255290985,1.0,-1.9647597074508667,1.0,False,False,False,0
0.794,127.0999984741211,-2.0999999046325684,0.1538095474243164,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8026,127.0999984741211,-2.0999999046325684,0.15381932258605957,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8119,127.0999984741211,-2.0999999046325684,0.1538323014974594,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8207,127.0999984741211,-2.0999999046325684,0.1538444608449936,1.0,-1.9647597074508667,1.0,False,False,False,0
0.829,127.0999984741211,-2.0999999046325684,0.1538529098033905,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8337,127.0999984741211,-2.0999999046325684,0.15385767817497253,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8425,127.0999984741211,-2.0999999046325684,0.15386660397052765,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8518,127.0999984741211,-2.0999999046325684,0.15388049185276031,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8606,127.0999984741211,-2.0999999046325684,0.15389452874660492,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8691,127.0999984741211,-2.0999999046325684,0.15390752255916595,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8782,127.0999984741211,-2.0999999046325684,0.15391966700553894,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8873,127.0999984741211,-2.0999999046325684,0.15393169224262238,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8956,127.0999984741211,-2.0999999046325684,0.1539435088634491,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9043,127.0999984741211,-2.0999999046325684,0.15395617485046387,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9086,127.0999984741211,-2.0999999046325684,0.15396244823932648,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9177,127.0999984741211,-2.0999999046325684,0.15397368371486664,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9266,127.0999984741211,-2.0999999046325684,0.1539829820394516,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9349,127.0999984741211,-2.0999999046325684,0.15399169921875,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9438,127.0999984741211,-2.0999999046325684,0.15399691462516785,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9534,127.0999984741211,-2.0999999046325684,0.154000923037529,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9618,127.0999984741211,-2.0999999046325684,0.15400443971157074,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9707,127.0999984741211,-2.0999999046325684,0.15400443971157074,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9751,127.0999984741211,-2.0999999046325684,0.1540033221244812,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9845,127.0999984741211,-2.0999999046325684,0.15400157868862152,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9931,127.0999984741211,-2.0999999046325684,0.15400543808937073,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0016,127.0999984741211,-2.0999999046325684,0.1540132611989975,1.0,-1.9647597074508667,1.0,False,False,False,0
1.011,127.0999984741211,-2.0999999046325684,0.15402185916900635,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0201,127.0999984741211,-2.0999999046325684,0.15402823686599731,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0281,127.0999984741211,-2.0999999046325684,0.15403348207473755,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0372,127.0999984741211,-2.0999999046325684,0.1540404111146927,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0462,127.0999984741211,-2.0999999046325684,0.15405088663101196,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0506,127.0999984741211,-2.0999999046325684,0.1540561318397522,1.0,-1.9647597074508667,1.0,False,False,False,0
