,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0029,127.0999984741211,-2.0999999046325684,0.2719041705131531,0.0,0.0,0.0,False,False,False,0
0.0084,127.0999984741211,-2.0999999046325684,0.26959800720214844,0.0,0.0,0.0,False,False,False,0
0.0176,127.0999984741211,-2.0999999046325684,0.26666074991226196,0.0,0.0,0.0,False,False,False,0
0.0277,127.0999984741211,-2.0999999046325684,0.2655976116657257,0.0,0.0,0.0,False,False,False,0
0.0379,127.0999984741211,-2.0999999046325684,0.2654629349708557,0.0,0.0,0.0,False,False,False,0
0.0434,127.0999984741211,-2.0999999046325684,0.26539167761802673,0.0,0.0,0.0,False,False,False,0
0.0527,127.0999984741211,-2.0999999046325684,0.26526889204978943,0.0,0.0,0.0,False,False,False,0
0.0616,127.0999984741211,-2.0999999046325684,0.26515161991119385,0.0,0.0,0.0,False,False,False,0
0.0668,127.0999984741211,-2.0999999046325684,0.26508328318595886,0.0,0.0,0.0,False,False,False,0
0.0763,127.0999984741211,-2.0999999046325684,0.2649575471878052,0.0,0.0,0.0,False,False,False,0
0.0854,127.0999984741211,-2.0999999046325684,0.2648380696773529,0.0,0.0,0.0,False,False,False,0
0.0952,127.0999984741211,-2.0999999046325684,0.2647094428539276,0.0,0.0,0.0,False,False,False,0
0.1043,127.0999984741211,-2.0999999046325684,0.2645888030529022,0.0,0.0,0.0,False,False,False,0
0.1088,127.0999984741211,-2.0999999046325684,0.26452967524528503,0.0,0.0,0.0,False,False,False,0
0.1183,127.0999984741211,-2.0999999046325684,0.2644047439098358,0.0,0.0,0.0,False,False,False,0
0.1274,127.0999984741211,-2.0999999046325684,0.26428499817848206,0.0,0.0,0.0,False,False,False,0
0.1372,127.0999984741211,-2.0999999046325684,0.264156699180603,0.0,0.0,0.0,False,False,False,0
0.1417,127.0999984741211,-2.0999999046325684,0.2640967071056366,0.0,0.0,0.0,False,False,False,0
0.1505,127.0999984741211,-2.0999999046325684,0.26398155093193054,0.0,0.0,0.0,False,False,False,0
0.1601,127.0999984741211,-2.0999999046325684,0.2638550400733948,0.0,0.0,0.0,False,False,False,0
0.1694,127.0999984741211,-2.0999999046325684,0.2637321949005127,0.0,0.0,0.0,False,False,False,0
