,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0032,127.0999984741211,-2.0999999046325684,0.2708021104335785,0.0,0.0,0.0,False,False,False,0
0.0094,127.0999984741211,-2.0999999046325684,0.2686423063278198,0.0,0.0,0.0,False,False,False,0
0.0189,127.0999984741211,-2.0999999046325684,0.26659226417541504,0.0,0.0,0.0,False,False,False,0
0.0275,127.0999984741211,-2.0999999046325684,0.26645249128341675,0.0,0.0,0.0,False,False,False,0
0.0371,127.0999984741211,-2.0999999046325684,0.26629719138145447,0.0,0.0,0.0,False,False,False,0
0.0431,127.0999984741211,-2.0999999046325684,0.26620033383369446,0.0,0.0,0.0,False,False,False,0
0.0525,127.0999984741211,-2.0999999046325684,0.2660481035709381,0.0,0.0,0.0,False,False,False,0
0.0615,127.0999984741211,-2.0999999046325684,0.2659027576446533,0.0,0.0,0.0,False,False,False,0
0.0706,127.0999984741211,-2.0999999046325684,0.265756756067276,0.0,0.0,0.0,False,False,False,0
0.0756,127.0999984741211,-2.0999999046325684,0.2656747102737427,0.0,0.0,0.0,False,False,False,0
0.0855,127.0999984741211,-2.0999999046325684,0.2655158042907715,0.0,0.0,0.0,False,False,False,0
0.0939,127.0999984741211,-2.0999999046325684,0.2653791606426239,0.0,0.0,0.0,False,False,False,0
0.1034,127.0999984741211,-2.0999999046325684,0.26522549986839294,0.0,0.0,0.0,False,False,False,0
0.1129,127.0999984741211,-2.0999999046325684,0.26507309079170227,0.0,0.0,0.0,False,False,False,0
0.1173,127.0999984741211,-2.0999999046325684,0.26500120759010315,0.0,0.0,0.0,False,False,False,0
0.1267,127.0999984741211,-2.0999999046325684,0.2648502588272095,0.0,0.0,0.0,False,False,False,0
0.1356,127.0999984741211,-2.0999999046325684,0.26470521092414856,0.0,0.0,0.0,False,False,False,0
0.1451,127.0999984741211,-2.0999999046325684,0.2645522654056549,0.0,0.0,0.0,False,False,False,0
0.1545,127.0999984741211,-2.0999999046325684,0.2644003629684448,0.0,0.0,0.0,False,False,False,0
0.1588,127.0999984741211,-2.0999999046325684,0.26433008909225464,0.0,0.0,0.0,False,False,False,0
0.168,127.0999984741211,-2.0999999046325684,0.26418161392211914,0.0,0.0,0.0,False,False,False,0
0.1773,127.0999984741211,-2.0999999046325684,0.2640322148799896,0.0,0.0,0.0,False,False,False,0
0.1865,127.0999984741211,-2.0999999046325684,0.2557814121246338,0.0,0.0,0.0,False,False,False,0
0.1957,127.0999984741211,-2.0999999046325684,0.2405880242586136,0.0,0.0,0.0,False,False,False,0
0.2002,127.0999984741211,-2.0999999046325684,0.23321302235126495,0.0,0.0,0.0,False,False,False,0
0.2102,127.0999984741211,-2.0999996662139893,0.21660752594470978,0.0,0.0,0.0,False,False,False,0
0.2196,127.0999984741211,-2.0999996662139893,0.20116165280342102,0.0,0.0,0.0,False,False,False,0
0.2283,127.0999984741211,-2.0999996662139893,0.19070546329021454,0.0,0.0,0.0,False,False,False,0
0.2375,127.0999984741211,-2.0999996662139893,0.18579381704330444,0.0,0.0,0.0,False,False,False,0
0.2422,127.0999984741211,-2.0999999046325684,0.18326501548290253,0.0,0.0,0.0,False,False,False,0
0.2518,127.0999984741211,-2.0999999046325684,0.17817051708698273,0.0,0.0,0.0,False,False,False,0
0.261,127.0999984741211,-2.0999999046325684,0.17468610405921936,0.0,0.0,0.0,False,False,False,0
0.2699,127.0999984741211,-2.0999999046325684,0.17266300320625305,0.0,0.0,0.0,False,False,False,0
0.2794,127.0999984741211,-2.0999999046325684,0.17050239443778992,0.0,0.0,0.0,False,False,False,0
0.2842,127.0999984741211,-2.0999999046325684,0.16939879953861237,0.0,0.0,0.0,False,False,False,0
0.2931,127.0999984741211,-2.0999999046325684,0.16741140186786652,0.0,0.0,0.0,False,False,False,0
0.3023,127.0999984741211,-2.0999999046325684,0.16547460854053497,0.0,0.0,0.0,False,False,False,0
0.3123,127.0999984741211,-2.0999999046325684,0.16334125399589539,0.0,0.0,0.0,False,False,False,0
0.3169,127.0999984741211,-2.0999999046325684,0.16245593130588531,0.0,0.0,0.0,False,False,False,0
0.3262,127.0999984741211,-2.0999999046325684,0.1612745076417923,0.0,0.0,0.0,False,False,False,0
0.3349,127.0999984741211,-2.0999999046325684,0.1601860225200653,0.0,0.0,0.0,False,False,False,0
0.3447,127.0999984741211,-2.0999999046325684,0.15927399694919586,0.0,0.0,0.0,False,False,False,0
0.3541,127.0999984741211,-2.0999999046325684,0.15858377516269684,0.0,0.0,0.0,False,False,False,0
