,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0035,127.0999984741211,-2.0999999046325684,0.2718930244445801,0.0,0.0,0.0,False,False,False,0
0.0093,127.0999984741211,-2.0999999046325684,0.270017147064209,0.0,0.0,0.0,False,False,False,0
0.0183,127.0999984741211,-2.0999999046325684,0.26867276430130005,0.0,0.0,0.0,False,False,False,0
0.0275,127.0999984741211,-2.0999999046325684,0.26863670349121094,0.0,0.0,0.0,False,False,False,0
0.0372,127.0999984741211,-2.0999999046325684,0.2685985565185547,0.0,0.0,0.0,False,False,False,0
0.0422,127.0999984741211,-2.0999999046325684,0.26857876777648926,0.0,0.0,0.0,False,False,False,0
0.0515,127.0999984741211,-2.0999999046325684,0.26854196190834045,0.0,0.0,0.0,False,False,False,0
0.0602,127.0999984741211,-2.0999999046325684,0.2685076892375946,0.0,0.0,0.0,False,False,False,0
0.0695,127.0999984741211,-2.0999999046325684,0.26847130060195923,0.0,0.0,0.0,False,False,False,0
0.0786,127.0999984741211,-2.0999999046325684,0.2684354782104492,0.0,0.0,0.0,False,False,False,0
0.0875,127.0999984741211,-2.0999999046325684,0.268400102853775,0.0,0.0,0.0,False,False,False,0
0.0923,127.0999984741211,-2.0999999046325684,0.2683812379837036,0.0,0.0,0.0,False,False,False,0
0.1009,127.0999984741211,-2.0999999046325684,0.26834753155708313,0.0,0.0,0.0,False,False,False,0
0.1102,127.0999984741211,-2.0999999046325684,0.2683108448982239,0.0,0.0,0.0,False,False,False,0
0.1193,127.0999984741211,-2.0999999046325684,0.2682749032974243,0.0,0.0,0.0,False,False,False,0
0.1282,127.0999984741211,-2.0999999046325684,0.26823994517326355,0.0,0.0,0.0,False,False,False,0
0.1373,127.0999984741211,-2.0999999046325684,0.26820433139801025,0.0,0.0,0.0,False,False,False,0
0.1419,127.0999984741211,-2.0999999046325684,0.26818591356277466,0.0,0.0,0.0,False,False,False,0
0.1509,127.0999984741211,-2.0999999046325684,0.2681506276130676,0.0,0.0,0.0,False,False,False,0
0.1601,127.0999984741211,-2.0999999046325684,0.26811450719833374,0.0,0.0,0.0,False,False,False,0
0.1687,127.0999984741211,-2.0999999046325684,0.26808029413223267,0.0,0.0,0.0,False,False,False,0
0.1779,127.0999984741211,-2.0999999046325684,0.26804405450820923,0.0,0.0,0.0,False,False,False,0
0.1871,127.0999984741211,-2.0999999046325684,0.26800793409347534,0.0,0.0,0.0,False,False,False,0
0.1958,127.0999984741211,-2.0999999046325684,0.2661078870296478,0.0,0.0,0.0,False,False,False,0
0.2005,127.0999984741211,-2.0999999046325684,0.2553306221961975,0.0,0.0,0.0,False,False,False,0
0.2099,127.0999984741211,-2.0999999046325684,0.23347510397434235,0.0,0.0,0.0,False,False,False,0
0.2189,127.0999984741211,-2.0999996662139893,0.2125800997018814,0.0,0.0,0.0,False,False,False,0
0.2281,127.0999984741211,-2.0999996662139893,0.19567087292671204,0.0,0.0,0.0,False,False,False,0
0.2373,127.0999984741211,-2.0999999046325684,0.1897602081298828,0.0,0.0,0.0,False,False,False,0
0.242,127.0999984741211,-2.0999999046325684,0.1867736130952835,0.0,0.0,0.0,False,False,False,0
0.2512,127.0999984741211,-2.0999999046325684,0.18211093544960022,0.0,0.0,0.0,False,False,False,0
0.2602,127.0999984741211,-2.0999999046325684,0.17929241061210632,0.0,0.0,0.0,False,False,False,0
0.2698,127.0999984741211,-2.0999999046325684,0.17628519237041473,0.0,0.0,0.0,False,False,False,0
0.2789,127.0999984741211,-2.0999999046325684,0.17380547523498535,0.0,0.0,0.0,False,False,False,0
0.2877,127.0999984741211,-2.0999999046325684,0.17147038877010345,0.0,0.0,0.0,False,False,False,0
0.2925,127.0999984741211,-2.0999999046325684,0.1701914221048355,0.0,0.0,0.0,False,False,False,0
0.3015,127.0999984741211,-2.0999999046325684,0.16854435205459595,0.0,0.0,0.0,False,False,False,0
0.311,127.0999984741211,-2.0999999046325684,0.1669486165046692,0.0,0.0,0.0,False,False,False,0
0.3202,127.0999984741211,-2.0999999046325684,0.16539263725280762,0.0,0.0,0.0,False,False,False,0
0.3291,127.0999984741211,-2.0999999046325684,0.1635545939207077,0.0,0.0,0.0,False,False,False,0
0.334,127.0999984741211,-2.0999999046325684,0.1625562310218811,0.0,0.0,0.0,False,False,False,0
0.3432,127.0999984741211,-2.0999999046325684,0.16118283569812775,0.0,0.0,0.0,False,False,False,0
