,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0022,127.0999984741211,-2.0999999046325684,0.2721533477306366,0.0,0.0,0.0,False,False,False,0
0.0118,127.0999984741211,-2.0999999046325684,0.2699073255062103,0.0,0.0,0.0,False,False,False,0
0.0176,127.0999984741211,-2.0999999046325684,0.26785072684288025,0.0,0.0,0.0,False,False,False,0
0.0269,127.0999984741211,-2.0999999046325684,0.2678162753582001,0.0,0.0,0.0,False,False,False,0
0.036,127.0999984741211,-2.0999999046325684,0.26778268814086914,0.0,0.0,0.0,False,False,False,0
0.0427,127.0999984741211,-2.0999999046325684,0.2677578330039978,0.0,0.0,0.0,False,False,False,0
0.0514,127.0999984741211,-2.0999999046325684,0.26772546768188477,0.0,0.0,0.0,False,False,False,0
0.0607,127.0999984741211,-2.0999999046325684,0.26769131422042847,0.0,0.0,0.0,False,False,False,0
0.0694,127.0999984741211,-2.0999999046325684,0.26765912771224976,0.0,0.0,0.0,False,False,False,0
0.0756,127.0999984741211,-2.0999999046325684,0.26763594150543213,0.0,0.0,0.0,False,False,False,0
0.0844,127.0999984741211,-2.0999999046325684,0.2676033675670624,0.0,0.0,0.0,False,False,False,0
0.0935,127.0999984741211,-2.0999999046325684,0.26756972074508667,0.0,0.0,0.0,False,False,False,0
0.1025,127.0999984741211,-2.0999999046325684,0.26753661036491394,0.0,0.0,0.0,False,False,False,0
0.1084,127.0999984741211,-2.0999999046325684,0.2675149142742157,0.0,0.0,0.0,False,False,False,0
0.1174,127.0999984741211,-2.0999999046325684,0.26748156547546387,0.0,0.0,0.0,False,False,False,0
0.1265,127.0999984741211,-2.0999999046325684,0.26744791865348816,0.0,0.0,0.0,False,False,False,0
0.1348,127.0999984741211,-2.0999999046325684,0.26741716265678406,0.0,0.0,0.0,False,False,False,0
0.1442,127.0999984741211,-2.0999999046325684,0.26738232374191284,0.0,0.0,0.0,False,False,False,0
0.1501,127.0999984741211,-2.0999999046325684,0.2673604488372803,0.0,0.0,0.0,False,False,False,0
0.1589,127.0999984741211,-2.0999999046325684,0.26732805371284485,0.0,0.0,0.0,False,False,False,0
0.1681,127.0999984741211,-2.0999999046325684,0.2672940492630005,0.0,0.0,0.0,False,False,False,0
0.1768,127.0999984741211,-2.0999999046325684,0.2672617733478546,0.0,0.0,0.0,False,False,False,0
0.1857,127.0999984741211,-2.0999999046325684,0.2672288119792938,0.0,0.0,0.0,False,False,False,0
0.1917,127.0999984741211,-2.0999999046325684,0.2672066390514374,0.0,0.0,0.0,False,False,False,0
