,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0032,127.0999984741211,-2.0999999046325684,0.2706642150878906,0.0,0.0,0.0,False,False,False,0
0.0093,127.0999984741211,-2.0999999046325684,0.2691798806190491,0.0,0.0,0.0,False,False,False,0
0.0189,127.0999984741211,-2.0999999046325684,0.2644823491573334,0.0,0.0,0.0,False,False,False,0
0.0294,127.0999984741211,-2.0999999046325684,0.2617962062358856,0.0,0.0,0.0,False,False,False,0
0.034,127.0999984741211,-2.0999999046325684,0.2617361843585968,0.0,0.0,0.0,False,False,False,0
0.0452,127.0999984741211,-2.0999999046325684,0.261592298746109,0.0,0.0,0.0,False,False,False,0
0.054,127.0999984741211,-2.0999999046325684,0.261478453874588,0.0,0.0,0.0,False,False,False,0
0.059,127.0999984741211,-2.0999999046325684,0.2614140212535858,0.0,0.0,0.0,False,False,False,0
0.0686,127.0999984741211,-2.0999999046325684,0.2612888813018799,0.0,0.0,0.0,False,False,False,0
0.0783,127.0999984741211,-2.0999999046325684,0.2611636221408844,0.0,0.0,0.0,False,False,False,0
0.0835,127.0999984741211,-2.0999999046325684,0.26109692454338074,0.0,0.0,0.0,False,False,False,0
0.0923,127.0999984741211,-2.0999999046325684,0.2609831690788269,0.0,0.0,0.0,False,False,False,0
0.1023,127.0999984741211,-2.0999999046325684,0.26085329055786133,0.0,0.0,0.0,False,False,False,0
0.1119,127.0999984741211,-2.0999999046325684,0.26072975993156433,0.0,0.0,0.0,False,False,False,0
0.1209,127.0999984741211,-2.0999999046325684,0.2606137692928314,0.0,0.0,0.0,False,False,False,0
0.1257,127.0999984741211,-2.0999999046325684,0.26055124402046204,0.0,0.0,0.0,False,False,False,0
0.135,127.0999984741211,-2.0999999046325684,0.26043084263801575,0.0,0.0,0.0,False,False,False,0
0.1444,127.0999984741211,-2.0999999046325684,0.2603091299533844,0.0,0.0,0.0,False,False,False,0
0.1542,127.0999984741211,-2.0999999046325684,0.2601822018623352,0.0,0.0,0.0,False,False,False,0
0.1589,127.0999984741211,-2.0999999046325684,0.26012200117111206,0.0,0.0,0.0,False,False,False,0
0.1685,127.0999984741211,-2.0999999046325684,0.2599971294403076,0.0,0.0,0.0,False,False,False,0
0.1786,127.0999984741211,-2.0999999046325684,0.25986677408218384,0.0,0.0,0.0,False,False,False,0
0.1877,127.0999984741211,-2.0999999046325684,0.2597496211528778,0.0,0.0,0.0,False,False,False,0
0.1928,127.0999984741211,-2.0999999046325684,0.25968387722969055,0.0,0.0,0.0,False,False,False,0
0.2023,127.0999984741211,-2.0999999046325684,0.25956016778945923,0.0,0.0,0.0,False,False,False,0
0.2114,127.0999984741211,-2.0999999046325684,0.2594432830810547,0.0,0.0,0.0,False,False,False,0
0.2167,127.0999984741211,-2.0999999046325684,0.25937432050704956,0.0,0.0,0.0,False,False,False,0
0.2259,127.0999984741211,-2.0999999046325684,0.24252375960350037,0.0,0.0,0.0,False,False,False,0
0.2354,127.0999984741211,-2.0999996662139893,0.22412581741809845,0.0,0.0,0.0,False,False,False,0
0.2455,127.0999984741211,-2.09999942779541,0.20472484827041626,0.0,0.0,0.0,False,False,False,0
0.2545,127.0999984741211,-2.09999942779541,0.18852795660495758,0.0,0.0,0.0,False,False,False,0
0.2597,127.0999984741211,-2.09999942779541,0.1860661506652832,0.0,0.0,0.0,False,False,False,0
0.2687,127.0999984741211,-2.0999996662139893,0.1817658543586731,0.0,0.0,0.0,False,False,False,0
0.2787,127.0999984741211,-2.0999996662139893,0.17696401476860046,0.0,0.0,0.0,False,False,False,0
0.2835,127.0999984741211,-2.0999996662139893,0.1749250590801239,0.0,0.0,0.0,False,False,False,0
0.2932,127.0999984741211,-2.0999996662139893,0.1716674417257309,0.0,0.0,0.0,False,False,False,0
0.3023,127.0999984741211,-2.0999996662139893,0.16863968968391418,0.0,0.0,0.0,False,False,False,0
0.312,127.0999984741211,-2.0999996662139893,0.16690509021282196,0.0,0.0,0.0,False,False,False,0
0.3211,127.0999984741211,-2.0999996662139893,0.16527090966701508,0.0,0.0,0.0,False,False,False,0
0.3263,127.0999984741211,-2.0999996662139893,0.16461579501628876,0.0,0.0,0.0,False,False,False,0
0.336,127.0999984741211,-2.0999996662139893,0.16355951130390167,0.0,0.0,0.0,False,False,False,0
0.3449,127.0999984741211,-2.0999996662139893,0.16259461641311646,0.0,0.0,0.0,False,False,False,0
0.3504,127.0999984741211,-2.0999996662139893,0.16205208003520966,0.0,0.0,0.0,False,False,False,0
0.3597,127.0999984741211,-2.0999996662139893,0.1613452285528183,0.0,0.0,0.0,False,False,False,0
0.3697,127.0999984741211,-2.0999996662139893,0.16057704389095306,0.0,0.0,0.0,False,False,False,0
0.3787,127.0999984741211,-2.0999996662139893,0.15989704430103302,0.0,0.0,0.0,False,False,False,0
0.3878,127.0999984741211,-2.0999996662139893,0.15914024412631989,0.0,0.0,0.0,False,False,False,0
0.393,127.0999984741211,-2.0999996662139893,0.1586589515209198,0.0,0.0,0.0,False,False,False,0
0.4024,127.0999984741211,-2.0999996662139893,0.1577882617712021,0.0,0.0,0.0,False,False,False,0
0.4124,127.0999984741211,-2.0999996662139893,0.15693150460720062,0.0,0.0,0.0,False,False,False,0
0.417,127.0999984741211,-2.0999996662139893,0.15673017501831055,0.0,0.0,0.0,False,False,False,0
0.4266,127.0999984741211,-2.0999996662139893,0.15631504356861115,0.0,0.0,0.0,False,False,False,0
0.4356,127.0999984741211,-2.0999996662139893,0.15592032670974731,0.0,0.0,0.0,False,False,False,0
0.4451,127.0999984741211,-2.0999996662139893,0.15550562739372253,0.0,0.0,0.0,False,False,False,0
0.4546,127.0999984741211,-2.0999996662139893,0.15508855879306793,0.0,0.0,0.0,False,False,False,0
0.4594,127.0999984741211,-2.0999996662139893,0.15492333471775055,0.0,0.0,0.0,False,False,False,0
0.4691,127.0999984741211,-2.0999996662139893,0.15471552312374115,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4792,127.0999984741211,-2.0999996662139893,0.15452492237091064,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4836,127.0999984741211,-2.0999996662139893,0.15447796881198883,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4945,127.0999984741211,-2.0999996662139893,0.15435855090618134,1.0,-1.9647597074508667,1.0,False,False,False,0
0.503,127.0999984741211,-2.0999996662139893,0.15426649153232574,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5126,127.0999984741211,-2.0999996662139893,0.1541444957256317,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5168,127.0999984741211,-2.0999996662139893,0.15408898890018463,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5268,127.0999984741211,-2.0999996662139893,0.15396648645401,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5358,127.0999984741211,-2.0999996662139893,0.1539272516965866,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5453,127.0999984741211,-2.0999996662139893,0.15388619899749756,1.0,-1.9647597074508667,1.0,False,False,False,0
