,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0036,127.0999984741211,-2.0999999046325684,0.27106574177742004,0.0,0.0,0.0,False,False,False,0
0.0085,127.0999984741211,-2.0999999046325684,0.27003058791160583,0.0,0.0,0.0,False,False,False,0
0.0176,127.0999984741211,-2.0999999046325684,0.26654693484306335,0.0,0.0,0.0,False,False,False,0
0.0265,127.0999984741211,-2.0999999046325684,0.2618789076805115,0.0,0.0,0.0,False,False,False,0
0.0348,127.0999984741211,-2.0999999046325684,0.257069855928421,0.0,0.0,0.0,False,False,False,0
0.0444,127.0999984741211,-2.0999999046325684,0.2560221552848816,0.0,0.0,0.0,False,False,False,0
0.0536,127.0999984741211,-2.0999999046325684,0.2558225691318512,0.0,0.0,0.0,False,False,False,0
0.0616,127.0999984741211,-2.0999999046325684,0.2556493580341339,0.0,0.0,0.0,False,False,False,0
0.0718,127.0999984741211,-2.0999999046325684,0.2554274797439575,0.0,0.0,0.0,False,False,False,0
0.0757,127.0999984741211,-2.0999999046325684,0.2553424537181854,0.0,0.0,0.0,False,False,False,0
0.0845,127.0999984741211,-2.0999999046325684,0.25515058636665344,0.0,0.0,0.0,False,False,False,0
0.0941,127.0999984741211,-2.0999999046325684,0.2549411952495575,0.0,0.0,0.0,False,False,False,0
0.1021,127.0999984741211,-2.0999999046325684,0.2547680139541626,0.0,0.0,0.0,False,False,False,0
0.1107,127.0999984741211,-2.0999999046325684,0.25458070635795593,0.0,0.0,0.0,False,False,False,0
0.1196,127.0999984741211,-2.0999999046325684,0.2543872892856598,0.0,0.0,0.0,False,False,False,0
0.1279,127.0999984741211,-2.0999999046325684,0.25420626997947693,0.0,0.0,0.0,False,False,False,0
0.1369,127.0999984741211,-2.0999999046325684,0.25401097536087036,0.0,0.0,0.0,False,False,False,0
0.1455,127.0999984741211,-2.0999999046325684,0.25382527709007263,0.0,0.0,0.0,False,False,False,0
0.1502,127.0999984741211,-2.0999999046325684,0.25372347235679626,0.0,0.0,0.0,False,False,False,0
0.1588,127.0999984741211,-2.0999999046325684,0.2535367012023926,0.0,0.0,0.0,False,False,False,0
0.1671,127.0999984741211,-2.0999999046325684,0.2533552944660187,0.0,0.0,0.0,False,False,False,0
0.1756,127.0999984741211,-2.0999999046325684,0.25317147374153137,0.0,0.0,0.0,False,False,False,0
0.1842,127.0999984741211,-2.0999999046325684,0.25298357009887695,0.0,0.0,0.0,False,False,False,0
0.1928,127.0999984741211,-2.0999999046325684,0.25279778242111206,0.0,0.0,0.0,False,False,False,0
0.2013,127.0999984741211,-2.0999999046325684,0.25261226296424866,0.0,0.0,0.0,False,False,False,0
0.2096,127.0999984741211,-2.0999999046325684,0.2524327039718628,0.0,0.0,0.0,False,False,False,0
0.2187,127.0999984741211,-2.0999999046325684,0.233636736869812,0.0,0.0,0.0,False,False,False,0
0.2275,127.0999984741211,-2.0999999046325684,0.2152240127325058,0.0,0.0,0.0,False,False,False,0
0.2358,127.0999984741211,-2.0999999046325684,0.19793356955051422,0.0,0.0,0.0,False,False,False,0
0.2444,127.0999984741211,-2.0999999046325684,0.18320298194885254,0.0,0.0,0.0,False,False,False,0
0.2533,127.0999984741211,-2.0999999046325684,0.1805078685283661,0.0,0.0,0.0,False,False,False,0
0.2615,127.0999984741211,-2.0999999046325684,0.17802174389362335,0.0,0.0,0.0,False,False,False,0
0.2705,127.0999984741211,-2.0999999046325684,0.17527085542678833,0.0,0.0,0.0,False,False,False,0
0.2792,127.0999984741211,-2.0999999046325684,0.17278191447257996,0.0,0.0,0.0,False,False,False,0
0.2876,127.0999984741211,-2.0999999046325684,0.17117956280708313,0.0,0.0,0.0,False,False,False,0
0.2924,127.0999984741211,-2.0999999046325684,0.17025840282440186,0.0,0.0,0.0,False,False,False,0
0.3007,127.0999984741211,-2.0999999046325684,0.1686588078737259,0.0,0.0,0.0,False,False,False,0
0.3098,127.0999984741211,-2.0999999046325684,0.1669246107339859,0.0,0.0,0.0,False,False,False,0
0.3187,127.0999984741211,-2.0999999046325684,0.16524645686149597,0.0,0.0,0.0,False,False,False,0
0.3271,127.0999984741211,-2.0999999046325684,0.16375237703323364,0.0,0.0,0.0,False,False,False,0
0.3357,127.0999984741211,-2.0999999046325684,0.16223999857902527,0.0,0.0,0.0,False,False,False,0
0.3439,127.0999984741211,-2.0999999046325684,0.1607719510793686,0.0,0.0,0.0,False,False,False,0
0.353,127.0999984741211,-2.0999999046325684,0.15963834524154663,0.0,0.0,0.0,False,False,False,0
0.3621,127.0999984741211,-2.0999999046325684,0.15870262682437897,0.0,0.0,0.0,False,False,False,0
0.37,127.0999984741211,-2.0999999046325684,0.15788936614990234,0.0,0.0,0.0,False,False,False,0
0.3786,127.0999984741211,-2.0999999046325684,0.1572658270597458,0.0,0.0,0.0,False,False,False,0
0.3877,127.0999984741211,-2.0999999046325684,0.15664879977703094,0.0,0.0,0.0,False,False,False,0
0.3918,127.0999984741211,-2.0999999046325684,0.1563875377178192,0.0,0.0,0.0,False,False,False,0
0.4006,127.0999984741211,-2.0999999046325684,0.15605279803276062,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4088,127.0999984741211,-2.0999999046325684,0.15574103593826294,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4174,127.0999984741211,-2.0999999046325684,0.15546511113643646,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4266,127.0999984741211,-2.0999999046325684,0.15520521998405457,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4348,127.0999984741211,-2.0999999046325684,0.15498065948486328,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4436,127.0999984741211,-2.0999999046325684,0.15480642020702362,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4521,127.0999984741211,-2.0999999046325684,0.15463858842849731,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4606,127.0999984741211,-2.0999999046325684,0.15447619557380676,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4695,127.0999984741211,-2.0999999046325684,0.15431012213230133,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4775,127.0999984741211,-2.0999999046325684,0.15417616069316864,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4868,127.0999984741211,-2.0999999046325684,0.15408137440681458,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4958,127.0999984741211,-2.0999999046325684,0.1539909690618515,1.0,-1.9647597074508667,1.0,False,False,False,0
