,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0036,127.0999984741211,-2.0999999046325684,0.2719818353652954,0.0,0.0,0.0,False,False,False,0
0.0094,127.0999984741211,-2.0999999046325684,0.2699034810066223,0.0,0.0,0.0,False,False,False,0
0.02,127.0999984741211,-2.0999999046325684,0.2651185095310211,0.0,0.0,0.0,False,False,False,0
0.0256,127.0999984741211,-2.0999999046325684,0.2626350522041321,0.0,0.0,0.0,False,False,False,0
0.0358,127.0999984741211,-2.0999999046325684,0.2572903335094452,0.0,0.0,0.0,False,False,False,0
0.0431,127.0999984741211,-2.0999999046325684,0.25686272978782654,0.0,0.0,0.0,False,False,False,0
0.0515,127.0999984741211,-2.0999999046325684,0.25652405619621277,0.0,0.0,0.0,False,False,False,0
0.0624,127.0999984741211,-2.0999999046325684,0.2560895085334778,0.0,0.0,0.0,False,False,False,0
0.0672,127.0999984741211,-2.0999999046325684,0.2558974325656891,0.0,0.0,0.0,False,False,False,0
0.0786,127.0999984741211,-2.0999999046325684,0.25543728470802307,0.0,0.0,0.0,False,False,False,0
0.0837,127.0999984741211,-2.0999999046325684,0.2552322447299957,0.0,0.0,0.0,False,False,False,0
0.0936,127.0999984741211,-2.0999999046325684,0.254836767911911,0.0,0.0,0.0,False,False,False,0
0.103,127.0999984741211,-2.0999999046325684,0.2544591426849365,0.0,0.0,0.0,False,False,False,0
0.1136,127.0999984741211,-2.0999999046325684,0.2540348470211029,0.0,0.0,0.0,False,False,False,0
0.1178,127.0999984741211,-2.0999999046325684,0.25386789441108704,0.0,0.0,0.0,False,False,False,0
0.1284,127.0999984741211,-2.0999999046325684,0.2534392774105072,0.0,0.0,0.0,False,False,False,0
0.1381,127.0999984741211,-2.0999999046325684,0.25305044651031494,0.0,0.0,0.0,False,False,False,0
0.1428,127.0999984741211,-2.0999999046325684,0.25286439061164856,0.0,0.0,0.0,False,False,False,0
0.1536,127.0999984741211,-2.0999999046325684,0.25242987275123596,0.0,0.0,0.0,False,False,False,0
0.1591,127.0999984741211,-2.0999999046325684,0.25220850110054016,0.0,0.0,0.0,False,False,False,0
0.1685,127.0999984741211,-2.0999999046325684,0.25183233618736267,0.0,0.0,0.0,False,False,False,0
0.1791,127.0999984741211,-2.0999999046325684,0.25140687823295593,0.0,0.0,0.0,False,False,False,0
0.1884,127.0999984741211,-2.0999999046325684,0.2510332763195038,0.0,0.0,0.0,False,False,False,0
0.1941,127.0999984741211,-2.0999999046325684,0.25080379843711853,0.0,0.0,0.0,False,False,False,0
0.2034,127.0999984741211,-2.0999999046325684,0.24289977550506592,0.0,0.0,0.0,False,False,False,0
0.2138,127.0999984741211,-2.0999999046325684,0.22425717115402222,0.0,0.0,0.0,False,False,False,0
0.2184,127.0999984741211,-2.0999999046325684,0.21608321368694305,0.0,0.0,0.0,False,False,False,0
0.2291,127.0999984741211,-2.1000001430511475,0.1971212923526764,0.0,0.0,0.0,False,False,False,0
0.2376,127.0999984741211,-2.1000001430511475,0.1828869730234146,0.0,0.0,0.0,False,False,False,0
0.2427,127.0999984741211,-2.1000001430511475,0.18098001182079315,0.0,0.0,0.0,False,False,False,0
0.2525,127.0999984741211,-2.1000001430511475,0.1772826910018921,0.0,0.0,0.0,False,False,False,0
0.2633,127.0999984741211,-2.1000001430511475,0.1732729822397232,0.0,0.0,0.0,False,False,False,0
0.2683,127.0999984741211,-2.1000001430511475,0.1714511662721634,0.0,0.0,0.0,False,False,False,0
0.2783,127.0999984741211,-2.1000001430511475,0.16956505179405212,0.0,0.0,0.0,False,False,False,0
0.2836,127.0999984741211,-2.1000001430511475,0.16858133673667908,0.0,0.0,0.0,False,False,False,0
0.2925,127.0999984741211,-2.1000001430511475,0.16690440475940704,0.0,0.0,0.0,False,False,False,0
0.3026,127.0999984741211,-2.1000001430511475,0.16512031853199005,0.0,0.0,0.0,False,False,False,0
0.3133,127.0999984741211,-2.1000001430511475,0.16387353837490082,0.0,0.0,0.0,False,False,False,0
0.3175,127.0999984741211,-2.1000001430511475,0.16338025033473969,0.0,0.0,0.0,False,False,False,0
0.3273,127.0999984741211,-2.1000001430511475,0.16224117577075958,0.0,0.0,0.0,False,False,False,0
0.3378,127.0999984741211,-2.1000001430511475,0.16100698709487915,0.0,0.0,0.0,False,False,False,0
0.3432,127.0999984741211,-2.1000001430511475,0.16034269332885742,0.0,0.0,0.0,False,False,False,0
0.3529,127.0999984741211,-2.1000001430511475,0.1591460406780243,0.0,0.0,0.0,False,False,False,0
0.3624,127.0999984741211,-2.1000001430511475,0.15797123312950134,0.0,0.0,0.0,False,False,False,0
0.3676,127.0999984741211,-2.1000001430511475,0.1575273871421814,0.0,0.0,0.0,False,False,False,0
0.3782,127.0999984741211,-2.1000001430511475,0.1568625122308731,0.0,0.0,0.0,False,False,False,0
