,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.003,127.0999984741211,-2.0999999046325684,0.2705129384994507,0.0,0.0,0.0,False,False,False,0
0.0089,127.0999984741211,-2.0999999046325684,0.26929137110710144,0.0,0.0,0.0,False,False,False,0
0.0178,127.0999984741211,-2.0999999046325684,0.2642425298690796,0.0,0.0,0.0,False,False,False,0
0.0272,127.0999984741211,-2.0999999046325684,0.26082608103752136,0.0,0.0,0.0,False,False,False,0
0.0361,127.0999984741211,-2.0999999046325684,0.256497859954834,0.0,0.0,0.0,False,False,False,0
0.0459,127.0999984741211,-2.0999999046325684,0.25630423426628113,0.0,0.0,0.0,False,False,False,0
0.0508,127.0999984741211,-2.0999999046325684,0.2562079429626465,0.0,0.0,0.0,False,False,False,0
0.0595,127.0999984741211,-2.0999999046325684,0.25603732466697693,0.0,0.0,0.0,False,False,False,0
0.0698,127.0999984741211,-2.0999999046325684,0.25583603978157043,0.0,0.0,0.0,False,False,False,0
0.0792,127.0999984741211,-2.0999999046325684,0.25565165281295776,0.0,0.0,0.0,False,False,False,0
0.0835,127.0999984741211,-2.0999999046325684,0.2555670440196991,0.0,0.0,0.0,False,False,False,0
0.0924,127.0999984741211,-2.0999999046325684,0.25539085268974304,0.0,0.0,0.0,False,False,False,0
0.101,127.0999984741211,-2.0999999046325684,0.2552221715450287,0.0,0.0,0.0,False,False,False,0
0.1102,127.0999984741211,-2.0999999046325684,0.25504130125045776,0.0,0.0,0.0,False,False,False,0
0.1192,127.0999984741211,-2.0999999046325684,0.2548639476299286,0.0,0.0,0.0,False,False,False,0
0.1281,127.0999984741211,-2.0999999046325684,0.25468990206718445,0.0,0.0,0.0,False,False,False,0
0.1374,127.0999984741211,-2.0999999046325684,0.25450706481933594,0.0,0.0,0.0,False,False,False,0
0.1418,127.0999984741211,-2.0999999046325684,0.2544209659099579,0.0,0.0,0.0,False,False,False,0
0.1511,127.0999984741211,-2.0999999046325684,0.2542381286621094,0.0,0.0,0.0,False,False,False,0
0.1601,127.0999984741211,-2.0999999046325684,0.25406143069267273,0.0,0.0,0.0,False,False,False,0
0.1691,127.0999984741211,-2.0999999046325684,0.253883957862854,0.0,0.0,0.0,False,False,False,0
0.178,127.0999984741211,-2.0999999046325684,0.2537085711956024,0.0,0.0,0.0,False,False,False,0
0.1872,127.0999984741211,-2.0999999046325684,0.25352856516838074,0.0,0.0,0.0,False,False,False,0
0.1959,127.0999984741211,-2.0999999046325684,0.24948136508464813,0.0,0.0,0.0,False,False,False,0
0.2005,127.0999984741211,-2.0999999046325684,0.24016441404819489,0.0,0.0,0.0,False,False,False,0
0.2094,127.0999984741211,-2.0999999046325684,0.22243249416351318,0.0,0.0,0.0,False,False,False,0
0.2184,127.0999984741211,-2.0999999046325684,0.20457707345485687,0.0,0.0,0.0,False,False,False,0
0.2276,127.0999984741211,-2.0999999046325684,0.18616171181201935,0.0,0.0,0.0,False,False,False,0
0.2364,127.0999984741211,-2.0999999046325684,0.18152663111686707,0.0,0.0,0.0,False,False,False,0
0.2453,127.0999984741211,-2.0999999046325684,0.17803356051445007,0.0,0.0,0.0,False,False,False,0
0.2544,127.0999984741211,-2.0999999046325684,0.17447587847709656,0.0,0.0,0.0,False,False,False,0
0.2586,127.0999984741211,-2.0999999046325684,0.17303867638111115,0.0,0.0,0.0,False,False,False,0
0.268,127.0999984741211,-2.0999999046325684,0.17083372175693512,0.0,0.0,0.0,False,False,False,0
0.277,127.0999984741211,-2.0999999046325684,0.16871099174022675,0.0,0.0,0.0,False,False,False,0
0.2857,127.0999984741211,-2.0999999046325684,0.16669978201389313,0.0,0.0,0.0,False,False,False,0
0.2951,127.0999984741211,-2.0999999046325684,0.16470788419246674,0.0,0.0,0.0,False,False,False,0
0.304,127.0999984741211,-2.0999999046325684,0.16281117498874664,0.0,0.0,0.0,False,False,False,0
0.3085,127.0999984741211,-2.0999999046325684,0.16223008930683136,0.0,0.0,0.0,False,False,False,0
0.3175,127.0999984741211,-2.0999999046325684,0.16122817993164062,0.0,0.0,0.0,False,False,False,0
0.3262,127.0999984741211,-2.0999999046325684,0.16033446788787842,0.0,0.0,0.0,False,False,False,0
0.3356,127.0999984741211,-2.0999999046325684,0.15998512506484985,0.0,0.0,0.0,False,False,False,0
0.3447,127.0999984741211,-2.0999999046325684,0.15964336693286896,0.0,0.0,0.0,False,False,False,0
0.3534,127.0999984741211,-2.0999999046325684,0.15931421518325806,0.0,0.0,0.0,False,False,False,0
0.3626,127.0999984741211,-2.0999999046325684,0.1589711606502533,0.0,0.0,0.0,False,False,False,0
0.3671,127.0999984741211,-2.0999999046325684,0.15880350768566132,0.0,0.0,0.0,False,False,False,0
0.3763,127.0999984741211,-2.0999999046325684,0.15812252461910248,0.0,0.0,0.0,False,False,False,0
0.3852,127.0999984741211,-2.0999999046325684,0.15706507861614227,0.0,0.0,0.0,False,False,False,0
0.3941,127.0999984741211,-2.0999999046325684,0.15600189566612244,0.0,0.0,0.0,False,False,False,0
0.4033,127.0999984741211,-2.0999999046325684,0.15564757585525513,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4123,127.0999984741211,-2.0999999046325684,0.15533973276615143,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4167,127.0999984741211,-2.0999999046325684,0.15520240366458893,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4257,127.0999984741211,-2.0999999046325684,0.15504206717014313,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4346,127.0999984741211,-2.0999999046325684,0.15488478541374207,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4437,127.0999984741211,-2.0999999046325684,0.15472187101840973,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4527,127.0999984741211,-2.0999999046325684,0.15449969470500946,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4616,127.0999984741211,-2.0999999046325684,0.15428116917610168,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4707,127.0999984741211,-2.0999999046325684,0.15416966378688812,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4799,127.0999984741211,-2.0999999046325684,0.15407347679138184,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4842,127.0999984741211,-2.0999999046325684,0.154028058052063,0.0,-0.21701611578464508,0.0,False,False,False,0
0.4932,127.0999984741211,-2.0999999046325684,0.15397635102272034,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5021,127.0999984741211,-2.0999999046325684,0.15392599999904633,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5111,127.0999984741211,-2.0999999046325684,0.15388332307338715,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5201,127.0999984741211,-2.0999999046325684,0.1538488119840622,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5289,127.0999984741211,-2.0999999046325684,0.15381699800491333,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5336,127.0999984741211,-2.0999999046325684,0.15380261838436127,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5425,127.0999984741211,-2.0999999046325684,0.1537749022245407,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5515,127.0999984741211,-2.0999999046325684,0.1537467986345291,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5606,127.0999984741211,-2.0999999046325684,0.15372468531131744,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5694,127.0999984741211,-2.0999999046325684,0.1537066400051117,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5785,127.0999984741211,-2.0999999046325684,0.15368802845478058,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5876,127.0999984741211,-2.0999999046325684,0.1536872684955597,0.0,-0.21701611578464508,0.0,False,False,False,0
0.5921,127.0999984741211,-2.0999999046325684,0.15369005501270294,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6011,127.0999984741211,-2.0999999046325684,0.15369561314582825,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6101,127.0999984741211,-2.0999999046325684,0.15371616184711456,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6187,127.0999984741211,-2.0999999046325684,0.1537373960018158,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6281,127.0999984741211,-2.0999999046325684,0.15375815331935883,0.0,-0.21701611578464508,0.0,False,False,False,0
0.637,127.0999984741211,-2.0999999046325684,0.15377534925937653,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6456,127.0999984741211,-2.0999999046325684,0.1537920981645584,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6504,127.0999984741211,-2.0999999046325684,0.15379959344863892,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6595,127.0999984741211,-2.0999999046325684,0.15381161868572235,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6685,127.0999984741211,-2.0999999046325684,0.15382373332977295,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6776,127.0999984741211,-2.0999999046325684,0.1538296788930893,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6864,127.0999984741211,-2.0999999046325684,0.1538296788930893,0.0,-0.21701611578464508,0.0,False,False,False,0
0.6958,127.0999984741211,-2.0999999046325684,0.1538296788930893,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7046,127.0999984741211,-2.0999999046325684,0.1538352519273758,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7092,127.0999984741211,-2.0999999046325684,0.15383999049663544,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7183,127.0999984741211,-2.0999999046325684,0.15384939312934875,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7271,127.0999984741211,-2.0999999046325684,0.15384644269943237,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7363,127.0999984741211,-2.0999999046325684,0.15384197235107422,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7451,127.0999984741211,-2.0999999046325684,0.15385408699512482,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7542,127.0999984741211,-2.0999999046325684,0.15387679636478424,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7587,127.0999984741211,-2.0999999046325684,0.1538882553577423,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7676,127.0999984741211,-2.0999999046325684,0.15390543639659882,0.0,-0.21701611578464508,0.0,False,False,False,0
0.777,127.0999984741211,-2.0999999046325684,0.1539188027381897,0.0,-0.21701611578464508,0.0,False,False,False,0
0.786,127.0999984741211,-2.0999999046325684,0.15393148362636566,0.0,-0.21701611578464508,0.0,False,False,False,0
0.7947,127.0999984741211,-2.0999999046325684,0.15394121408462524,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8037,127.0999984741211,-2.0999999046325684,0.15395031869411469,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8127,127.0999984741211,-2.0999999046325684,0.15395332872867584,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8174,127.0999984741211,-2.0999999046325684,0.1539521962404251,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8263,127.0999984741211,-2.0999999046325684,0.15395107865333557,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8352,127.0999984741211,-2.0999999046325684,0.15397149324417114,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8443,127.0999984741211,-2.0999999046325684,0.15399551391601562,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8532,127.0999984741211,-2.0999999046325684,0.15399712324142456,0.0,-0.21701611578464508,0.0,False,False,False,0
0.8621,127.0999984741211,-2.0999999046325684,0.15399284660816193,0.0,-0.21701611578464508,0.0,False,False,False,0
