,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0022,127.0999984741211,-2.0999999046325684,0.27211809158325195,0.0,0.0,0.0,False,False,False,0
0.0088,127.0999984741211,-2.0999999046325684,0.27026236057281494,0.0,0.0,0.0,False,False,False,0
0.0181,127.0999984741211,-2.0999999046325684,0.26763179898262024,0.0,0.0,0.0,False,False,False,0
0.0271,127.0999984741211,-2.0999999046325684,0.26545271277427673,0.0,0.0,0.0,False,False,False,0
0.0357,127.0999984741211,-2.0999999046325684,0.2654079496860504,0.0,0.0,0.0,False,False,False,0
0.0425,127.0999984741211,-2.0999999046325684,0.26537296175956726,0.0,0.0,0.0,False,False,False,0
0.0519,127.0999984741211,-2.0999999046325684,0.2653241455554962,0.0,0.0,0.0,False,False,False,0
0.0606,127.0999984741211,-2.0999999046325684,0.2652784585952759,0.0,0.0,0.0,False,False,False,0
0.0669,127.0999984741211,-2.0999999046325684,0.26524612307548523,0.0,0.0,0.0,False,False,False,0
0.0757,127.0999984741211,-2.0999999046325684,0.2652001678943634,0.0,0.0,0.0,False,False,False,0
0.085,127.0999984741211,-2.0999999046325684,0.2651519775390625,0.0,0.0,0.0,False,False,False,0
0.0937,127.0999984741211,-2.0999999046325684,0.2651064097881317,0.0,0.0,0.0,False,False,False,0
0.1025,127.0999984741211,-2.0999999046325684,0.26506075263023376,0.0,0.0,0.0,False,False,False,0
0.1087,127.0999984741211,-2.0999999046325684,0.2650286555290222,0.0,0.0,0.0,False,False,False,0
0.1174,127.0999984741211,-2.0999999046325684,0.2649834156036377,0.0,0.0,0.0,False,False,False,0
0.1267,127.0999984741211,-2.0999999046325684,0.26493459939956665,0.0,0.0,0.0,False,False,False,0
0.1357,127.0999984741211,-2.0999999046325684,0.2648879885673523,0.0,0.0,0.0,False,False,False,0
0.1417,127.0999984741211,-2.0999999046325684,0.2648570239543915,0.0,0.0,0.0,False,False,False,0
0.1506,127.0999984741211,-2.0999999046325684,0.26481059193611145,0.0,0.0,0.0,False,False,False,0
0.16,127.0999984741211,-2.0999999046325684,0.26476162672042847,0.0,0.0,0.0,False,False,False,0
0.1688,127.0999984741211,-2.0999999046325684,0.26471608877182007,0.0,0.0,0.0,False,False,False,0
0.1778,127.0999984741211,-2.0999999046325684,0.2646690607070923,0.0,0.0,0.0,False,False,False,0
0.1836,127.0999984741211,-2.0999999046325684,0.2646389603614807,0.0,0.0,0.0,False,False,False,0
0.193,127.0999984741211,-2.0999999046325684,0.2645901143550873,0.0,0.0,0.0,False,False,False,0
0.2018,127.0999984741211,-2.0999999046325684,0.25703755021095276,0.0,0.0,0.0,False,False,False,0
0.2106,127.0999984741211,-2.0999999046325684,0.23994021117687225,0.0,0.0,0.0,False,False,False,0
0.2167,127.0999984741211,-2.0999996662139893,0.22800606489181519,0.0,0.0,0.0,False,False,False,0
0.2258,127.0999984741211,-2.0999996662139893,0.21019724011421204,0.0,0.0,0.0,False,False,False,0
0.2346,127.0999984741211,-2.0999996662139893,0.19320973753929138,0.0,0.0,0.0,False,False,False,0
0.2438,127.0999984741211,-2.0999996662139893,0.18968427181243896,0.0,0.0,0.0,False,False,False,0
0.2529,127.0999984741211,-2.0999996662139893,0.18615445494651794,0.0,0.0,0.0,False,False,False,0
0.2588,127.0999984741211,-2.0999999046325684,0.1838693767786026,0.0,0.0,0.0,False,False,False,0
0.2678,127.0999984741211,-2.0999999046325684,0.18040317296981812,0.0,0.0,0.0,False,False,False,0
0.2766,127.0999984741211,-2.0999999046325684,0.17748196423053741,0.0,0.0,0.0,False,False,False,0
0.2858,127.0999984741211,-2.0999999046325684,0.17525054514408112,0.0,0.0,0.0,False,False,False,0
0.2917,127.0999984741211,-2.0999999046325684,0.173810675740242,0.0,0.0,0.0,False,False,False,0
0.3006,127.0999984741211,-2.0999999046325684,0.1716693490743637,0.0,0.0,0.0,False,False,False,0
0.3097,127.0999984741211,-2.0999999046325684,0.16946563124656677,0.0,0.0,0.0,False,False,False,0
0.3188,127.0999984741211,-2.0999999046325684,0.1674744337797165,0.0,0.0,0.0,False,False,False,0
0.3276,127.0999984741211,-2.0999999046325684,0.16580705344676971,0.0,0.0,0.0,False,False,False,0
0.3338,127.0999984741211,-2.0999999046325684,0.1646265685558319,0.0,0.0,0.0,False,False,False,0
0.3426,127.0999984741211,-2.0999999046325684,0.1629561185836792,0.0,0.0,0.0,False,False,False,0
0.3517,127.0999984741211,-2.0999999046325684,0.16135136783123016,0.0,0.0,0.0,False,False,False,0
0.3609,127.0999984741211,-2.0999999046325684,0.1600155085325241,0.0,0.0,0.0,False,False,False,0
0.3667,127.0999984741211,-2.0999999046325684,0.15915679931640625,0.0,0.0,0.0,False,False,False,0
0.3757,127.0999984741211,-2.0999999046325684,0.15825729072093964,0.0,0.0,0.0,False,False,False,0
