,x,y,z,throttle,steer,brake,hand brake,reverse,manual gear shift,gear
0.0032,127.0999984741211,-2.0999999046325684,0.27140870690345764,0.0,0.0,0.0,False,False,False,0
0.0137,127.0999984741211,-2.0999999046325684,0.2684020698070526,0.0,0.0,0.0,False,False,False,0
0.0181,127.0999984741211,-2.0999999046325684,0.2671533226966858,0.0,0.0,0.0,False,False,False,0
0.027,127.0999984741211,-2.0999999046325684,0.2656588852405548,0.0,0.0,0.0,False,False,False,0
0.0358,127.0999984741211,-2.0999999046325684,0.2655841112136841,0.0,0.0,0.0,False,False,False,0
0.0448,127.0999984741211,-2.0999999046325684,0.26550811529159546,0.0,0.0,0.0,False,False,False,0
0.0534,127.0999984741211,-2.0999999046325684,0.26543495059013367,0.0,0.0,0.0,False,False,False,0
0.0623,127.0999984741211,-2.0999999046325684,0.2653595209121704,0.0,0.0,0.0,False,False,False,0
0.071,127.0999984741211,-2.0999999046325684,0.2652856707572937,0.0,0.0,0.0,False,False,False,0
0.0754,127.0999984741211,-2.0999999046325684,0.26524877548217773,0.0,0.0,0.0,False,False,False,0
0.0841,127.0999984741211,-2.0999999046325684,0.26517465710639954,0.0,0.0,0.0,False,False,False,0
0.0928,127.0999984741211,-2.0999999046325684,0.2651010751724243,0.0,0.0,0.0,False,False,False,0
0.1024,127.0999984741211,-2.0999999046325684,0.26501980423927307,0.0,0.0,0.0,False,False,False,0
0.1105,127.0999984741211,-2.0999999046325684,0.2649511992931366,0.0,0.0,0.0,False,False,False,0
0.119,127.0999984741211,-2.0999999046325684,0.2648787498474121,0.0,0.0,0.0,False,False,False,0
0.1277,127.0999984741211,-2.0999999046325684,0.2648055851459503,0.0,0.0,0.0,False,False,False,0
0.1366,127.0999984741211,-2.0999999046325684,0.26472988724708557,0.0,0.0,0.0,False,False,False,0
0.1452,127.0999984741211,-2.0999999046325684,0.2646571397781372,0.0,0.0,0.0,False,False,False,0
0.1542,127.0999984741211,-2.0999999046325684,0.26458045840263367,0.0,0.0,0.0,False,False,False,0
0.1587,127.0999984741211,-2.0999999046325684,0.26454272866249084,0.0,0.0,0.0,False,False,False,0
0.1672,127.0999984741211,-2.0999999046325684,0.2511969208717346,0.0,0.0,0.0,False,False,False,0
0.176,127.0999984741211,-2.0999999046325684,0.23306173086166382,0.0,0.0,0.0,False,False,False,0
0.1848,127.0999984741211,-2.0999996662139893,0.2149476259946823,0.0,0.0,0.0,False,False,False,0
0.1931,127.0999984741211,-2.0999996662139893,0.19775506854057312,0.0,0.0,0.0,False,False,False,0
0.2018,127.0999984741211,-2.0999996662139893,0.19005019962787628,0.0,0.0,0.0,False,False,False,0
0.2105,127.0999984741211,-2.0999999046325684,0.18567660450935364,0.0,0.0,0.0,False,False,False,0
0.2194,127.0999984741211,-2.0999999046325684,0.18125496804714203,0.0,0.0,0.0,False,False,False,0
0.2289,127.0999984741211,-2.0999999046325684,0.17715923488140106,0.0,0.0,0.0,False,False,False,0
0.2393,127.0999984741211,-2.0999999046325684,0.17325176298618317,0.0,0.0,0.0,False,False,False,0
0.2437,127.0999984741211,-2.0999999046325684,0.17163032293319702,0.0,0.0,0.0,False,False,False,0
0.2526,127.0999984741211,-2.0999999046325684,0.1695156693458557,0.0,0.0,0.0,False,False,False,0
0.2613,127.0999984741211,-2.0999999046325684,0.16771933436393738,0.0,0.0,0.0,False,False,False,0
0.2699,127.0999984741211,-2.0999999046325684,0.16608206927776337,0.0,0.0,0.0,False,False,False,0
0.2786,127.0999984741211,-2.0999999046325684,0.16465982794761658,0.0,0.0,0.0,False,False,False,0
0.2874,127.0999984741211,-2.0999999046325684,0.16321679949760437,0.0,0.0,0.0,False,False,False,0
0.2961,127.0999984741211,-2.0999999046325684,0.16247937083244324,0.0,0.0,0.0,False,False,False,0
0.3005,127.0999984741211,-2.0999999046325684,0.16211533546447754,0.0,0.0,0.0,False,False,False,0
0.3091,127.0999984741211,-2.0999999046325684,0.16140839457511902,0.0,0.0,0.0,False,False,False,0
0.3178,127.0999984741211,-2.0999999046325684,0.16066257655620575,0.0,0.0,0.0,False,False,False,0
0.3273,127.0999984741211,-2.0999999046325684,0.15961691737174988,0.0,0.0,0.0,False,False,False,0
0.3338,127.0999984741211,-2.0999999046325684,0.15889152884483337,0.0,0.0,0.0,False,False,False,0
0.3428,127.0999984741211,-2.0999999046325684,0.15803927183151245,0.0,0.0,0.0,False,False,False,0
0.3517,127.0999984741211,-2.0999999046325684,0.1576470285654068,0.0,0.0,0.0,False,False,False,0
0.3609,127.0999984741211,-2.0999999046325684,0.15724380314350128,0.0,0.0,0.0,False,False,False,0
0.3696,127.0999984741211,-2.0999999046325684,0.15685991942882538,0.0,0.0,0.0,False,False,False,0
0.3785,127.0999984741211,-2.0999999046325684,0.15645204484462738,0.0,0.0,0.0,False,False,False,0
0.3871,127.0999984741211,-2.0999999046325684,0.15605251491069794,0.0,0.0,0.0,False,False,False,0
0.396,127.0999984741211,-2.0999999046325684,0.1556391417980194,0.0,0.0,0.0,False,False,False,0
0.4005,127.0999984741211,-2.0999999046325684,0.15544554591178894,0.0,0.0,0.0,False,False,False,0
0.4093,127.0999984741211,-2.0999999046325684,0.15514132380485535,0.0,0.0,0.0,False,False,False,0
0.4178,127.0999984741211,-2.0999999046325684,0.15484681725502014,0.0,0.0,0.0,False,False,False,0
0.4266,127.0999984741211,-2.0999999046325684,0.15465058386325836,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4355,127.0999984741211,-2.0999999046325684,0.15450188517570496,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4448,127.0999984741211,-2.0999999046325684,0.15436811745166779,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4538,127.0999984741211,-2.0999999046325684,0.15428270399570465,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4629,127.0999984741211,-2.0999999046325684,0.1541965901851654,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4671,127.0999984741211,-2.0999999046325684,0.15415671467781067,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4762,127.0999984741211,-2.0999999046325684,0.15407562255859375,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4849,127.0999984741211,-2.0999999046325684,0.1539984792470932,1.0,-1.9647597074508667,1.0,False,False,False,0
0.4934,127.0999984741211,-2.0999999046325684,0.15392829477787018,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5021,127.0999984741211,-2.0999999046325684,0.1538875848054886,1.0,-1.9647597074508667,1.0,False,False,False,0
0.511,127.0999984741211,-2.0999999046325684,0.15384629368782043,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5199,127.0999984741211,-2.0999999046325684,0.15381012856960297,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5295,127.0999984741211,-2.0999999046325684,0.15378451347351074,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5338,127.0999984741211,-2.0999999046325684,0.15377329289913177,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5427,127.0999984741211,-2.0999999046325684,0.15375135838985443,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5513,127.0999984741211,-2.0999999046325684,0.15374352037906647,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5607,127.0999984741211,-2.0999999046325684,0.15373510122299194,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5703,127.0999984741211,-2.0999999046325684,0.15373730659484863,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5803,127.0999984741211,-2.0999999046325684,0.15374410152435303,1.0,-1.9647597074508667,1.0,False,False,False,0
0.586,127.0999984741211,-2.0999999046325684,0.15374791622161865,1.0,-1.9647597074508667,1.0,False,False,False,0
0.5945,127.0999984741211,-2.0999999046325684,0.1537536382675171,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6044,127.0999984741211,-2.0999999046325684,0.15376421809196472,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6097,127.0999984741211,-2.0999999046325684,0.15376999974250793,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6187,127.0999984741211,-2.0999999046325684,0.15377971529960632,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6286,127.0999984741211,-2.0999999046325684,0.15379247069358826,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6385,127.0999984741211,-2.0999999046325684,0.15380443632602692,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6428,127.0999984741211,-2.0999999046325684,0.15380224585533142,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6528,127.0999984741211,-2.0999999046325684,0.15379707515239716,1.0,-1.9647597074508667,1.0,False,False,False,0
0.6623,127.0999984741211,-2.0999999046325684,0.1537948101758957,1.0,-1.9647597074508667,1.0,False,False,False,0
0.667,127.0999984741211,-2.0999999046325684,0.1537948101758957,1.0,-1.9647597074508667,1.0,False,False,False,0
0.677,127.0999984741211,-2.0999999046325684,0.1537948101758957,1.0,-1.9647597074508667,1.0,False,False,False,0
0.686,127.0999984741211,-2.0999999046325684,0.15379630029201508,1.0,-1.9647597074508667,1.0,False,False,False,0
0.692,127.0999984741211,-2.0999999046325684,0.15379762649536133,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7011,127.0999984741211,-2.0999999046325684,0.15380971133708954,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7098,127.0999984741211,-2.0999999046325684,0.15383917093276978,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7206,127.0999984741211,-2.0999999046325684,0.15387536585330963,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7307,127.0999984741211,-2.0999999046325684,0.1539004147052765,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7348,127.0999984741211,-2.0999999046325684,0.1539105623960495,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7445,127.0999984741211,-2.0999999046325684,0.15393397212028503,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7533,127.0999984741211,-2.0999999046325684,0.15395337343215942,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7586,127.0999984741211,-2.0999999046325684,0.15396520495414734,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7675,127.0999984741211,-2.0999999046325684,0.15398138761520386,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7766,127.0999984741211,-2.0999999046325684,0.1539946347475052,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7867,127.0999984741211,-2.0999999046325684,0.15400919318199158,1.0,-1.9647597074508667,1.0,False,False,False,0
0.7962,127.0999984741211,-2.0999999046325684,0.1540111005306244,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8005,127.0999984741211,-2.0999999046325684,0.15400931239128113,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8104,127.0999984741211,-2.0999999046325684,0.15400515496730804,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8189,127.0999984741211,-2.0999999046325684,0.15401847660541534,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8285,127.0999984741211,-2.0999999046325684,0.1540343463420868,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8383,127.0999984741211,-2.0999999046325684,0.15404686331748962,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8426,127.0999984741211,-2.0999999046325684,0.15404993295669556,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8523,127.0999984741211,-2.0999999046325684,0.15405671298503876,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8615,127.0999984741211,-2.0999999046325684,0.1540660858154297,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8707,127.0999984741211,-2.0999999046325684,0.15407732129096985,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8776,127.0999984741211,-2.0999999046325684,0.1540856808423996,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8859,127.0999984741211,-2.0999999046325684,0.15409475564956665,1.0,-1.9647597074508667,1.0,False,False,False,0
0.8956,127.0999984741211,-2.0999999046325684,0.15410545468330383,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9003,127.0999984741211,-2.0999999046325684,0.15411041676998138,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9098,127.0999984741211,-2.0999999046325684,0.15412038564682007,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9195,127.0999984741211,-2.0999999046325684,0.15412990748882294,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9298,127.0999984741211,-2.0999999046325684,0.15413783490657806,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9349,127.0999984741211,-2.0999999046325684,0.15414178371429443,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9453,127.0999984741211,-2.0999999046325684,0.15412014722824097,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9539,127.0999984741211,-2.0999999046325684,0.1540972739458084,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9599,127.0999984741211,-2.0999999046325684,0.15408749878406525,1.0,-1.9647597074508667,1.0,False,False,False,0
0.969,127.0999984741211,-2.0999999046325684,0.1540764421224594,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9777,127.0999984741211,-2.0999999046325684,0.15406912565231323,1.0,-1.9647597074508667,1.0,False,False,False,0
0.9835,127.0999984741211,-2.0999999046325684,0.1540771871805191,1.0,-1.9647597074508667,1.0,False,False,False,0
0.992,127.0999984741211,-2.0999999046325684,0.15408918261528015,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0018,127.0999984741211,-2.0999999046325684,0.15410079061985016,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0115,127.0999984741211,-2.0999999046325684,0.15410466492176056,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0201,127.0999984741211,-2.0999999046325684,0.15410809218883514,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0255,127.0999984741211,-2.0999999046325684,0.15411023795604706,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0344,127.0999984741211,-2.0999999046325684,0.15410490334033966,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0439,127.0999984741211,-2.0999999046325684,0.1540987342596054,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0536,127.0999984741211,-2.0999999046325684,0.15409912168979645,1.0,-1.9647597074508667,1.0,False,False,False,0
1.063,127.0999984741211,-2.0999999046325684,0.15410616993904114,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0673,127.0999984741211,-2.0999999046325684,0.15410944819450378,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0764,127.0999984741211,-2.0999999046325684,0.15411263704299927,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0852,127.0999984741211,-2.0999999046325684,0.15411263704299927,1.0,-1.9647597074508667,1.0,False,False,False,0
1.0947,127.0999984741211,-2.0999999046325684,0.15411530435085297,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1027,127.0999984741211,-2.0999999046325684,0.1541242003440857,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1114,127.0999984741211,-2.0999999046325684,0.1541338711977005,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1205,127.0999984741211,-2.0999999046325684,0.1541389673948288,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1297,127.0999984741211,-2.0999999046325684,0.15414345264434814,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1343,127.0999984741211,-2.0999999046325684,0.1541457176208496,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1431,127.0999984741211,-2.0999999046325684,0.1541423350572586,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1516,127.0999984741211,-2.0999999046325684,0.15413448214530945,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1606,127.0999984741211,-2.0999999046325684,0.15412622690200806,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1691,127.0999984741211,-2.0999999046325684,0.15411794185638428,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1777,127.0999984741211,-2.0999999046325684,0.15410922467708588,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1866,127.0999984741211,-2.0999999046325684,0.1541002243757248,1.0,-1.9647597074508667,1.0,False,False,False,0
1.1953,127.0999984741211,-2.0999999046325684,0.1541002243757248,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2037,127.0999984741211,-2.0999999046325684,0.15410169959068298,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2124,127.0999984741211,-2.0999999046325684,0.154105082154274,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2169,127.0999984741211,-2.0999999046325684,0.1541074812412262,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2255,127.0999984741211,-2.0999999046325684,0.1541121006011963,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2341,127.0999984741211,-2.0999999046325684,0.15411686897277832,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2428,127.0999984741211,-2.0999999046325684,0.15412217378616333,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2516,127.0999984741211,-2.0999999046325684,0.15412749350070953,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2602,127.0999984741211,-2.0999999046325684,0.1541300117969513,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2688,127.0999984741211,-2.0999999046325684,0.154122993350029,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2776,127.0999984741211,-2.0999999046325684,0.15411628782749176,1.0,-1.9647597074508667,1.0,False,False,False,0
1.2861,127.0999984741211,-2.0999999046325684,0.15411105751991272,1.0,-1.9647597074508667,1.0,False,False,False,0
1.295,127.0999984741211,-2.0999999046325684,0.1541081964969635,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3035,127.0999984741211,-2.0999999046325684,0.15410542488098145,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3124,127.0999984741211,-2.0999999046325684,0.15410414338111877,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3167,127.0999984741211,-2.0999999046325684,0.15410546958446503,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3254,127.0999984741211,-2.0999999046325684,0.15410678088665009,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3343,127.0999984741211,-2.0999999046325684,0.15410678088665009,1.0,-1.9647597074508667,1.0,False,False,False,0
1.343,127.0999984741211,-2.0999999046325684,0.15410494804382324,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3517,127.0999984741211,-2.0999999046325684,0.1541021764278412,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3603,127.0999984741211,-2.0999999046325684,0.15411199629306793,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3687,127.0999984741211,-2.0999999046325684,0.1541249006986618,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3776,127.0999984741211,-2.0999999046325684,0.15412534773349762,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3868,127.0999984741211,-2.0999999046325684,0.1541115790605545,1.0,-1.9647597074508667,1.0,False,False,False,0
1.3957,127.0999984741211,-2.0999999046325684,0.15409819781780243,1.0,-1.9647597074508667,1.0,False,False,False,0
1.4,127.0999984741211,-2.0999999046325684,0.15409228205680847,1.0,-1.9647597074508667,1.0,False,False,False,0
1.4088,127.0999984741211,-2.0999999046325684,0.15409082174301147,1.0,-1.9647597074508667,1.0,False,False,False,0
1.4176,127.0999984741211,-2.0999999046325684,0.15408934652805328,1.0,-1.9647597074508667,1.0,False,False,False,0
1.4264,127.0999984741211,-2.0999999046325684,0.1540878713130951,1.0,-1.9647597074508667,1.0,False,False,False,0
1.435,127.0999984741211,-2.0999999046325684,0.15408144891262054,1.0,-1.9647597074508667,1.0,False,False,False,0
1.4438,127.0999984741211,-2.0999999046325684,0.15407387912273407,1.0,-1.9647597074508667,1.0,False,False,False,0
1.4524,127.0999984741211,-2.0999999046325684,0.15407013893127441,1.0,-1.9647597074508667,1.0,False,False,False,0
1.4613,127.0999984741211,-2.0999999046325684,0.1540825068950653,1.0,-1.9647597074508667,1.0,False,False,False,0
